,concelho,ano,mes,distrito,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,total_servicos_realizados,total_cpes
4199,Ovar,2024,3,Aveiro,1801.0,30648.0,9.0,0.0,202.0,154.0,149.0,25.0,26355,285,5588,221,539.0,32449.0
4200,Palmela,2022,3,Setúbal,10273.0,28327.0,10.0,1.0,153.0,122.0,86.0,59.0,28151,481,9734,234,431.0,38600.0
4201,Palmela,2022,4,Setúbal,10564.0,28047.0,35.0,0.0,246.0,245.0,188.0,114.0,28151,482,9741,237,828.0,38611.0
4202,Palmela,2022,5,Setúbal,10072.0,28608.0,36.0,0.0,267.0,210.0,188.0,93.0,28172,482,9769,257,794.0,38680.0
4203,Palmela,2022,6,Setúbal,10283.0,28466.0,24.0,0.0,290.0,245.0,176.0,143.0,28215,482,9794,258,878.0,38749.0
4204,Palmela,2022,7,Setúbal,9834.0,28950.0,22.0,0.0,273.0,234.0,142.0,79.0,28245,482,9810,247,750.0,38784.0
4205,Palmela,2022,8,Setúbal,9927.0,28942.0,25.0,0.0,342.0,284.0,184.0,146.0,28276,482,9814,297,981.0,38869.0
4206,Palmela,2022,9,Setúbal,9597.0,29221.0,18.0,0.0,272.0,252.0,176.0,78.0,28278,482,9817,241,796.0,38818.0
4207,Palmela,2022,10,Setúbal,9431.0,29413.0,74.0,0.0,236.0,216.0,191.0,103.0,28297,482,9818,247,820.0,38844.0
4208,Palmela,2022,11,Setúbal,9433.0,29453.0,354.0,0.0,272.0,218.0,206.0,107.0,28342,482,9819,243,1157.0,38886.0
4209,Palmela,2022,12,Setúbal,9049.0,29872.0,421.0,0.0,242.0,218.0,209.0,75.0,28369,482,9828,242,1165.0,38921.0
4210,Palmela,2023,1,Setúbal,8890.0,30078.0,438.0,0.0,383.0,290.0,222.0,114.0,28408,482,9846,232,1447.0,38968.0
