,concelho,ano,mes,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_REMOTE_ICP_CONFIGURATION,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,total_servicos_realizados,total_cpes,energia_ativa
53,Alandroal,2022,6,2146,1965,4,0,0,19,20,6,7,3277,45,773,16,56,4111,1899780.379
54,Alandroal,2022,7,2037,2083,1,0,0,16,14,10,2,3285,45,777,13,43,4120,2339316.427
55,Alandroal,2022,8,2039,2093,1,0,0,23,25,9,10,3294,45,777,16,68,4132,2096816.307
56,Alandroal,2022,9,2021,2107,2,0,0,24,15,8,4,3292,45,778,13,53,4128,1541833.466
57,Alandroal,2022,10,2149,1978,8,0,0,16,16,8,6,3288,45,780,14,54,4127,1388714.551
58,Alandroal,2022,11,2021,2104,29,0,0,7,8,11,5,3287,45,781,12,60,4125,1269929.271
59,Alandroal,2022,12,2018,2101,87,0,0,12,7,8,2,3279,45,782,13,116,4119,1383129.9780000001
60,Alandroal,2023,1,1908,2216,120,1,0,21,13,15,10,3285,45,782,12,180,4124,1499804.77
61,Alandroal,2023,2,1910,2218,15,0,0,14,14,7,8,3291,45,780,12,58,4128,1350287.463
62,Alandroal,2023,3,1865,2265,18,0,0,11,13,10,15,3291,45,782,12,67,4130,1432562.028
63,Alandroal,2023,4,1807,2323,36,0,0,25,22,6,9,3291,45,782,12,98,4130,1482598.727
64,Alandroal,2023,5,1732,2398,62,0,0,24,21,6,4,3291,45,782,12,117,4130,1658387.616
65,Alandroal,2023,6,1692,2441,2,0,0,18,18,2,8,3288,45,787,13,48,4133,1886887.396
66,Alandroal,2023,7,1670,2470,0,0,0,18,10,4,8,3289,45,793,13,40,4140,2233793.76
67,Alandroal,2023,8,1665,2483,1,0,1,20,19,8,10,3291,45,794,18,59,4148,2072915.375
68,Alandroal,2023,9,1778,2368,0,0,0,14,14,7,5,3295,45,792,14,40,4146,1566692.7
69,Alandroal,2023,10,1640,2501,3,0,0,21,18,11,12,3293,45,790,13,65,4141,1404028.0119999999
70,Alandroal,2023,11,1663,2475,2,0,0,33,31,11,6,3292,45,788,13,83,4138,1323581.219
71,Alandroal,2023,12,1559,2582,0,0,0,17,9,5,6,3294,45,787,15,37,4141,1523184.9340000001
72,Alandroal,2024,1,1322,2816,1,0,0,23,20,13,7,3294,45,788,11,64,4138,1493923.178
73,Alandroal,2024,2,1328,2806,2,0,0,15,10,2,1,3288,45,789,12,30,4134,508210.822
76,Albergaria-a-Velha,2022,4,8566,5563,8,0,0,33,32,31,16,11237,177,2591,124,120,14129,17515325.997
77,Albergaria-a-Velha,2022,5,8460,5662,6,0,0,48,32,37,12,11227,177,2598,120,135,14122,17218603.309
78,Albergaria-a-Velha,2022,6,8477,5655,5,0,0,41,31,25,8,11231,178,2602,121,110,14132,15877141.080999998
79,Albergaria-a-Velha,2022,7,8305,5836,7,0,0,34,29,12,6,11238,178,2600,125,88,14141,16417040.234
80,Albergaria-a-Velha,2022,8,8340,5797,2,0,0,52,42,24,11,11240,178,2595,124,131,14137,12133004.647
81,Albergaria-a-Velha,2022,9,8278,5861,4,0,0,37,40,32,8,11239,178,2600,122,121,14139,16925696.5
82,Albergaria-a-Velha,2022,10,8107,6041,9,0,0,27,22,27,4,11257,178,2595,118,89,14148,17749584.490000002
83,Albergaria-a-Velha,2022,11,8039,6123,63,0,0,43,26,20,8,11270,178,2597,117,160,14162,17560197.05
84,Albergaria-a-Velha,2022,12,7841,6333,106,0,1,45,36,23,9,11283,178,2596,117,220,14174,15838618.079
85,Albergaria-a-Velha,2023,1,7816,6375,121,1,6,60,44,39,16,11301,178,2598,114,287,14191,16003118.132
86,Albergaria-a-Velha,2023,2,7764,6438,87,0,4,47,32,31,11,11309,178,2601,114,212,14202,16554967.481
87,Albergaria-a-Velha,2023,3,7118,7098,72,1,5,64,49,30,10,11318,178,2608,112,231,14216,17785428.519
88,Albergaria-a-Velha,2023,4,6788,7428,323,0,8,68,52,27,17,11318,178,2608,112,495,14216,15848635.435
89,Albergaria-a-Velha,2023,5,6461,7755,145,0,0,83,57,38,27,11318,178,2608,112,350,14216,15371958.554999998
90,Albergaria-a-Velha,2023,6,5508,8733,229,0,0,80,64,35,22,11340,178,2612,111,430,14241,14984253.877999999
91,Albergaria-a-Velha,2023,7,5117,9141,4,0,15,72,66,36,25,11352,178,2617,111,218,14258,15357616.662
92,Albergaria-a-Velha,2023,8,4692,9565,6,0,11,65,41,51,13,11357,178,2618,104,187,14257,11729246.768000001
93,Albergaria-a-Velha,2023,9,3919,10350,14,0,6,85,56,46,20,11369,178,2619,103,227,14269,15137774.889
94,Albergaria-a-Velha,2023,10,3635,10635,26,0,31,84,67,61,18,11368,178,2622,102,287,14270,16888077.471
95,Albergaria-a-Velha,2023,11,3285,10995,5,0,6,116,89,45,18,11378,178,2624,100,279,14280,16375463.521
96,Albergaria-a-Velha,2023,12,3142,11147,7,0,1,62,39,49,10,11387,178,2626,98,168,14289,14077803.689
97,Albergaria-a-Velha,2024,1,2146,12133,3,0,1,91,70,66,26,11388,178,2618,95,257,14279,17478486.506
98,Albergaria-a-Velha,2024,2,2357,11932,7,0,3,42,31,28,8,11393,178,2628,90,119,14289,3794772.494
123,Albufeira,2024,2,8924,45211,8,0,1,173,129,71,51,42897,459,10650,129,433,54135,8401683.985
125,Alcanena,2022,3,5017,3166,0,0,0,11,9,13,8,6465,113,1577,28,41,8183,6824483.993000001
126,Alcanena,2022,4,4976,3208,5,0,0,20,17,17,15,6467,113,1576,28,74,8184,6107165.373
127,Alcanena,2022,5,4920,3262,3,0,0,32,33,17,11,6467,113,1574,28,96,8182,6260080.102000001
128,Alcanena,2022,6,4955,3244,2,0,0,30,25,19,8,6481,113,1575,30,84,8199,5860738.739
129,Alcanena,2022,7,4841,3363,2,0,0,27,22,11,4,6485,113,1576,30,66,8204,6098050.641
130,Alcanena,2022,8,4839,3366,3,0,0,39,38,15,10,6487,113,1576,29,105,8205,4956868.876
131,Alcanena,2022,9,4761,3452,3,1,0,37,36,21,4,6493,113,1578,29,102,8213,5513071.292
132,Alcanena,2022,10,4703,3511,8,0,0,29,26,24,4,6492,113,1580,29,91,8214,6160515.710999999
133,Alcanena,2022,11,4654,3570,42,0,0,30,28,12,7,6498,113,1584,29,119,8224,6199934.729
134,Alcanena,2022,12,4526,3708,117,0,0,41,37,18,10,6498,114,1588,34,223,8234,6162239.751
135,Alcanena,2023,1,4335,3892,100,0,0,49,35,26,17,6505,114,1579,29,227,8227,6993658.977
136,Alcanena,2023,2,4224,4004,125,0,0,34,43,19,9,6506,114,1579,29,230,8228,6184522.898
137,Alcanena,2023,3,3881,4358,182,0,8,43,38,18,5,6516,114,1580,29,294,8239,6434771.494
138,Alcanena,2023,4,3753,4486,129,1,0,50,45,15,10,6516,114,1580,29,250,8239,5624218.198
139,Alcanena,2023,5,3679,4560,114,0,0,58,49,24,14,6516,114,1580,29,259,8239,5631944.819
140,Alcanena,2023,6,3457,4808,48,0,0,50,44,21,22,6533,114,1587,31,185,8265,5641053.614
141,Alcanena,2023,7,3310,4957,6,0,0,45,45,13,8,6534,114,1587,32,117,8267,5416168.559
142,Alcanena,2023,8,3307,4954,7,0,12,47,35,22,22,6527,114,1588,32,145,8261,4849977.415
143,Alcanena,2023,9,2869,5399,6,0,0,41,37,26,8,6532,114,1592,30,118,8268,5427099.108999999
144,Alcanena,2023,10,2690,5587,4,0,1,42,39,33,9,6535,114,1599,29,128,8277,6296918.889
145,Alcanena,2023,11,2021,6254,1,0,0,70,57,42,11,6532,114,1600,29,181,8275,6454118.025
146,Alcanena,2023,12,1596,6696,0,0,0,40,29,40,15,6544,114,1600,34,124,8292,6344136.003
147,Alcanena,2024,1,1518,6769,2,0,0,64,50,47,13,6544,114,1600,29,176,8287,6995852.632
148,Alcanena,2024,2,1348,6943,1,0,0,33,29,25,7,6550,115,1599,27,95,8291,2141991.368
173,Alcobaça,2024,2,6291,33122,6,0,2,193,154,79,31,30881,526,7765,241,465,39413,9542570.724
175,Alcochete,2022,3,542,11151,3,0,0,54,47,19,23,8452,105,3054,82,146,11693,6800431.187999999
176,Alcochete,2022,4,660,11034,5,0,0,94,88,55,24,8451,105,3055,83,266,11694,6308056.861
177,Alcochete,2022,5,588,11115,11,0,0,135,96,55,32,8458,105,3053,87,329,11703,6773181.965
178,Alcochete,2022,6,683,11029,9,0,0,127,125,49,42,8467,105,3055,85,352,11712,6646388.874
179,Alcochete,2022,7,540,11196,4,0,0,110,72,43,25,8493,105,3053,85,254,11736,7643043.889
180,Alcochete,2022,8,617,11136,6,0,0,139,102,50,41,8504,105,3059,85,338,11753,7231821.9690000005
181,Alcochete,2022,9,571,11193,6,0,0,109,83,54,35,8516,105,3060,83,287,11764,6718895.201
182,Alcochete,2022,10,576,11202,15,1,0,85,87,58,28,8530,105,3061,82,274,11778,6506056.578
183,Alcochete,2022,11,641,11154,55,0,0,126,83,45,21,8538,105,3062,90,330,11795,6366128.6899999995
184,Alcochete,2022,12,554,11239,111,0,0,93,89,51,27,8538,105,3059,91,371,11793,6716813.673
185,Alcochete,2023,1,503,11284,110,1,0,146,102,74,45,8538,105,3059,85,478,11787,7645757.447
186,Alcochete,2023,2,579,11222,100,0,0,114,93,60,51,8546,105,3068,82,418,11801,6948462.944
187,Alcochete,2023,3,555,11255,68,0,1,105,77,78,35,8558,105,3066,81,364,11810,7010636.553
188,Alcochete,2023,4,620,11190,53,0,0,122,93,30,44,8558,105,3066,81,342,11810,6372392.279
189,Alcochete,2023,5,564,11246,110,0,0,152,107,59,35,8558,105,3066,81,463,11810,6768871.574
190,Alcochete,2023,6,581,11238,9,0,0,111,102,52,43,8561,105,3073,80,317,11819,6886448.203
191,Alcochete,2023,7,654,11194,9,0,0,124,85,57,38,8578,105,3082,83,313,11848,7278586.684
192,Alcochete,2023,8,736,11131,8,0,11,127,110,51,48,8591,105,3089,82,355,11867,7383618.677999999
193,Alcochete,2023,9,688,11177,6,0,0,112,79,53,30,8589,105,3091,80,280,11865,6808931.182
194,Alcochete,2023,10,662,11210,15,0,0,115,92,74,32,8589,105,3096,82,328,11872,6964226.166
195,Alcochete,2023,11,703,11179,7,0,0,151,109,62,19,8584,105,3108,85,348,11882,6724145.211
196,Alcochete,2023,12,872,11016,0,0,0,80,64,47,14,8589,104,3110,85,205,11888,7387737.079
197,Alcochete,2024,1,896,10994,4,0,0,129,93,62,25,8599,104,3110,77,313,11890,7664852.036
198,Alcochete,2024,2,706,11177,1,0,0,55,39,34,9,8597,104,3107,75,138,11883,2425056.418
200,Alcoutim,2022,3,1678,2020,0,1,0,4,4,0,5,2858,90,740,10,14,3698,678264.023
201,Alcoutim,2022,4,1696,2007,0,0,0,8,7,6,11,2861,90,741,11,32,3703,623710.018
202,Alcoutim,2022,5,1643,2056,0,0,0,7,6,4,1,2857,90,742,10,18,3699,628344.3049999999
203,Alcoutim,2022,6,1655,2044,0,0,0,7,9,3,9,2855,90,744,10,28,3699,630371.8470000001
204,Alcoutim,2022,7,1586,2117,0,0,0,6,5,3,2,2859,90,744,10,16,3703,732914.64
205,Alcoutim,2022,8,1560,2146,0,0,0,10,13,4,4,2859,90,747,10,31,3706,713416.178
206,Alcoutim,2022,9,1558,2147,1,0,0,5,4,5,2,2857,90,748,10,17,3705,632213.5160000001
207,Alcoutim,2022,10,1528,2176,1,0,0,8,5,10,9,2855,90,749,10,33,3704,630800.927
208,Alcoutim,2022,11,1535,2173,16,0,0,10,8,9,9,2857,91,748,12,52,3708,627941.287
209,Alcoutim,2022,12,1499,2210,46,0,0,7,5,3,5,2857,91,748,13,66,3709,680103.4519999999
210,Alcoutim,2023,1,1476,2225,26,0,3,9,4,8,11,2849,91,750,11,61,3701,726129.874
211,Alcoutim,2023,2,1453,2251,18,0,0,9,8,7,4,2850,91,751,12,46,3704,649543.765
212,Alcoutim,2023,3,1411,2298,38,0,2,15,18,4,10,2851,91,750,17,87,3709,634513.5419999999
213,Alcoutim,2023,4,1437,2272,26,0,0,7,6,1,5,2851,91,750,17,45,3709,570949.078
214,Alcoutim,2023,5,1399,2310,40,0,0,8,6,1,5,2851,91,750,17,60,3709,581336.663
215,Alcoutim,2023,6,1380,2323,2,0,0,4,3,5,5,2849,91,751,12,19,3703,618310.078
216,Alcoutim,2023,7,1346,2360,0,0,0,13,10,6,0,2853,91,750,12,29,3706,734329.3539999999
217,Alcoutim,2023,8,1356,2355,1,0,1,9,8,5,3,2856,91,750,14,27,3711,750819.678
218,Alcoutim,2023,9,1323,2394,0,0,0,8,8,10,3,2863,91,751,12,29,3717,638565.044
219,Alcoutim,2023,10,1301,2415,0,0,0,11,7,7,6,2864,91,749,12,31,3716,611424.366
220,Alcoutim,2023,11,1323,2393,0,0,0,22,16,7,7,2865,91,748,12,52,3716,611390.848
221,Alcoutim,2023,12,1176,2539,0,0,0,5,8,5,3,2862,91,750,12,21,3715,706210.71
222,Alcoutim,2024,1,1221,2492,1,0,0,19,10,8,4,2861,91,749,12,42,3713,719354.905
223,Alcoutim,2024,2,1153,2563,0,0,0,3,7,3,2,2862,91,750,13,15,3716,204338.869
225,Alcácer do Sal,2022,3,1713,6656,2,0,0,31,22,14,7,6609,102,1595,63,76,8369,5723788.432
226,Alcácer do Sal,2022,4,1679,6694,2,0,0,60,63,34,20,6609,102,1598,64,179,8373,5627625.885
227,Alcácer do Sal,2022,5,1576,6796,7,0,0,71,59,28,14,6604,102,1599,67,179,8372,6284518.456
228,Alcácer do Sal,2022,6,1672,6713,9,0,0,77,71,28,19,6606,102,1606,71,204,8385,6249847.403
229,Alcácer do Sal,2022,7,1407,7010,8,0,0,60,58,51,14,6637,102,1607,71,191,8417,7257276.059
