,concelho,ano,mes,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_REMOTE_ICP_CONFIGURATION,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,total_servicos_realizados,total_cpes,energia_ativa
1279,Cabeceiras de Basto,2022,7,5396,5179,12,0,0,21,18,8,10,8683,178,1645,69,69,10575,2852583.735
1280,Cabeceiras de Basto,2022,8,5331,5274,7,0,0,36,32,19,19,8696,179,1645,85,113,10605,2871952.201
1281,Cabeceiras de Basto,2022,9,5309,5334,2,1,0,23,20,15,9,8708,179,1648,108,70,10643,2596169.012
1282,Cabeceiras de Basto,2022,10,5008,5594,5,0,0,22,21,21,12,8713,179,1646,64,81,10602,2652492.8430000003
1283,Cabeceiras de Basto,2022,11,5127,5473,98,1,0,27,20,25,9,8710,179,1640,71,180,10600,2787703.337
1284,Cabeceiras de Basto,2022,12,4811,5795,241,0,1,34,27,15,7,8710,179,1642,75,325,10606,3070741.872
1285,Cabeceiras de Basto,2023,1,4645,5956,145,1,2,34,28,22,13,8712,179,1640,70,245,10601,3178920.425
1286,Cabeceiras de Basto,2023,2,4615,5991,81,0,0,33,29,18,11,8715,180,1640,71,172,10606,2745066.6229999997
1287,Cabeceiras de Basto,2023,3,4314,6279,110,0,5,33,24,24,17,8701,179,1641,72,213,10593,2823278.781
1288,Cabeceiras de Basto,2023,4,4165,6428,81,0,0,32,26,21,10,8701,179,1641,72,170,10593,2489701.206
1289,Cabeceiras de Basto,2023,5,3923,6670,110,0,0,43,30,24,21,8701,179,1641,72,228,10593,2483248.7
1290,Cabeceiras de Basto,2023,6,3739,6906,27,0,0,37,34,20,19,8732,179,1653,81,137,10645,2536595.265
1291,Cabeceiras de Basto,2023,7,3546,7117,2,0,0,45,45,17,12,8748,179,1657,79,121,10663,2821890.074
1292,Cabeceiras de Basto,2023,8,3412,7291,5,0,10,42,34,32,10,8770,179,1661,93,133,10703,2945470.809
1293,Cabeceiras de Basto,2023,9,3368,7368,6,0,0,37,26,17,9,8777,179,1662,118,95,10736,2689022.884
1294,Cabeceiras de Basto,2023,10,3240,7473,7,0,0,50,41,24,20,8792,179,1669,73,142,10713,2823372.602
1295,Cabeceiras de Basto,2023,11,3012,7693,3,0,0,47,36,27,9,8783,179,1670,73,122,10705,2937858.054
1296,Cabeceiras de Basto,2023,12,2780,7937,3,0,0,43,27,31,9,8787,179,1673,78,113,10717,3354764.577
1297,Cabeceiras de Basto,2024,1,2620,8091,2,0,0,46,35,35,16,8784,179,1676,72,134,10711,3343133.998
1298,Cabeceiras de Basto,2024,2,2534,8186,1,0,0,21,12,16,6,8786,179,1682,73,56,10720,1045055.099
1300,Cadaval,2022,3,6914,2637,1,0,0,5,5,1,0,7624,122,1753,52,12,9551,4267085.142
1301,Cadaval,2022,4,6832,2723,2,0,0,9,8,7,1,7624,125,1753,53,27,9555,3799553.935
1302,Cadaval,2022,5,6634,2929,4,0,0,14,13,10,4,7616,125,1769,53,45,9563,3691910.7600000002
1303,Cadaval,2022,6,6725,2867,2,0,0,19,16,10,15,7632,125,1782,53,62,9592,3556970.227
1304,Cadaval,2022,7,6515,3088,3,0,0,20,13,8,4,7640,125,1786,52,48,9603,3719172.873
1305,Cadaval,2022,8,6488,3121,4,0,0,29,24,16,6,7644,125,1787,53,79,9609,4430544.438
1306,Cadaval,2022,9,6459,3150,1,0,0,17,22,13,14,7651,125,1780,53,67,9609,5068912.339
1307,Cadaval,2022,10,6093,3512,7,0,0,12,11,17,7,7652,125,1773,55,54,9605,4709555.777
1308,Cadaval,2022,11,6314,3303,73,1,0,22,16,14,8,7661,125,1776,55,134,9617,4383611.681
1309,Cadaval,2022,12,5857,3765,238,0,0,20,17,12,6,7667,125,1776,54,293,9622,4488515.892
1310,Cadaval,2023,1,5708,3923,85,0,5,21,16,13,7,7680,125,1774,52,147,9631,4408152.251
1311,Cadaval,2023,2,5664,3973,129,0,0,36,30,15,9,7687,125,1774,51,219,9637,3792811.011
1312,Cadaval,2023,3,5202,4442,327,0,2,34,26,19,12,7697,125,1771,51,420,9644,3673655.513
1313,Cadaval,2023,4,4986,4658,215,0,1,42,40,10,15,7697,125,1771,51,323,9644,3161109.843
1314,Cadaval,2023,5,4583,5061,265,0,1,52,44,17,20,7697,125,1771,51,399,9644,3180919.014
1315,Cadaval,2023,6,4389,5311,54,0,0,50,45,17,18,7717,128,1802,53,184,9700,3164651.368
1316,Cadaval,2023,7,4204,5512,10,0,1,46,35,29,18,7727,128,1804,57,139,9716,3647566.275
1317,Cadaval,2023,8,4121,5613,4,1,6,37,43,18,14,7741,129,1810,54,123,9734,4451544.351
1318,Cadaval,2023,9,3695,6044,4,0,0,24,22,25,12,7753,129,1805,52,87,9739,4717404.056
1319,Cadaval,2023,10,3799,5939,5,0,0,52,37,30,16,7759,129,1801,49,140,9738,4488330.994
1320,Cadaval,2023,11,3362,6372,4,0,0,74,58,37,17,7764,129,1793,48,190,9734,4312993.337
1321,Cadaval,2023,12,3073,6666,3,0,1,49,37,43,12,7770,129,1792,48,145,9739,4653282.987
1322,Cadaval,2024,1,2890,6858,0,0,0,73,47,32,8,7778,129,1794,47,160,9748,4452976.226
1323,Cadaval,2024,2,2861,6882,1,0,0,38,31,16,10,7781,129,1787,46,96,9743,1669636.774
1325,Caldas da Rainha,2022,3,9813,26633,4,0,0,91,72,52,40,28451,393,7299,303,259,36446,17035305.067
1326,Caldas da Rainha,2022,4,10648,25825,10,0,0,217,199,143,91,28468,393,7312,300,660,36473,15225856.513
1327,Caldas da Rainha,2022,5,9722,26793,13,0,0,272,187,156,68,28486,393,7318,318,696,36515,15220364.879
1328,Caldas da Rainha,2022,6,9714,26879,2,0,0,268,217,111,59,28544,394,7342,313,657,36593,14718367.622000001
1329,Caldas da Rainha,2022,7,9339,27327,7,0,0,254,202,119,54,28594,394,7365,313,636,36666,15854255.314
1330,Caldas da Rainha,2022,8,9083,27653,15,1,0,293,220,167,80,28650,395,7381,310,776,36736,15687657.395
1331,Caldas da Rainha,2022,9,8869,27903,11,1,0,242,191,178,64,28698,395,7378,301,687,36772,15752071.702
1332,Caldas da Rainha,2022,10,8747,28060,83,0,0,239,175,168,56,28731,395,7384,297,721,36807,16007579.094
1333,Caldas da Rainha,2022,11,8956,27922,278,0,0,271,233,185,83,28784,395,7385,314,1050,36878,16061055.158
1334,Caldas da Rainha,2022,12,8545,28352,378,1,4,228,189,162,65,28810,395,7376,316,1027,36897,16803256.337
1336,Caldas da Rainha,2023,2,8177,28747,715,0,0,268,239,159,62,28857,396,7381,290,1443,36924,16489847.893
1337,Caldas da Rainha,2023,3,7322,29618,390,0,12,301,238,209,68,28873,397,7390,280,1218,36940,16376658.125
1338,Caldas da Rainha,2023,4,7072,29868,515,0,0,283,234,155,75,28873,397,7390,280,1262,36940,14163561.467
1339,Caldas da Rainha,2023,5,6253,30687,930,1,0,377,296,157,102,28873,397,7390,280,1863,36940,14818828.35
1340,Caldas da Rainha,2023,6,5757,31356,164,0,0,306,265,170,92,28972,398,7463,280,997,37113,14954895.833999999
1341,Caldas da Rainha,2023,7,4849,32302,10,1,1,345,283,208,115,28995,399,7477,280,963,37151,15625581.528
1342,Caldas da Rainha,2023,8,4801,32402,23,0,28,289,251,187,82,29025,399,7496,283,860,37203,16036142.27
1343,Caldas da Rainha,2023,9,4407,32821,25,0,0,228,164,158,65,29043,400,7501,284,640,37228,15680158.237
1344,Caldas da Rainha,2023,10,3751,33510,35,0,1,310,253,210,95,29090,400,7491,280,904,37261,16351966.45
1345,Caldas da Rainha,2023,11,3586,33702,24,0,0,413,325,186,55,29106,400,7489,293,1003,37288,16732192.276
1348,Caldas da Rainha,2024,2,2593,34678,16,0,2,181,137,85,31,29142,400,7473,256,452,37271,5597098.828
1350,Caminha,2022,3,9528,6522,2,0,0,8,5,9,2,13320,133,2476,121,26,16050,4010098.668
1351,Caminha,2022,4,9562,6504,8,0,0,19,22,15,14,13324,133,2485,124,78,16066,3664314.703
1352,Caminha,2022,5,9413,6666,4,0,0,35,21,24,9,13335,133,2484,127,93,16079,3668294.821
1353,Caminha,2022,6,9643,6452,8,0,0,40,32,19,12,13344,133,2485,133,111,16095,3568726.823
1354,Caminha,2022,7,9473,6654,2,0,0,24,20,34,14,13366,133,2489,139,94,16127,4033218.115
1355,Caminha,2022,8,9491,6654,3,0,0,43,30,28,24,13376,133,2491,145,128,16145,4209010.994
1356,Caminha,2022,9,9570,6564,4,0,0,35,28,31,12,13380,133,2492,129,110,16134,3762079.778
1357,Caminha,2022,10,9354,6780,5,1,0,45,35,29,13,13384,133,2492,125,128,16134,3747634.201
1358,Caminha,2022,11,9335,6808,179,0,0,35,31,38,24,13388,134,2499,122,307,16143,3886256.291
1359,Caminha,2022,12,8810,7340,183,0,0,34,26,37,17,13383,134,2506,127,297,16150,4378948.733
1360,Caminha,2023,1,7615,8533,245,2,0,51,44,52,27,13378,134,2508,128,421,16148,4560781.194
1361,Caminha,2023,2,7284,8886,678,0,2,55,48,41,17,13390,135,2511,134,841,16170,4007478.188
1362,Caminha,2023,3,5564,10617,726,1,6,54,40,47,26,13397,136,2509,139,900,16181,3991278.169
1363,Caminha,2023,4,4984,11197,414,0,0,70,58,32,24,13397,136,2509,139,598,16181,3491264.33
1364,Caminha,2023,5,4753,11428,410,0,0,82,70,37,27,13397,136,2509,139,626,16181,3459276.407
1365,Caminha,2023,6,4479,11774,45,0,0,80,69,45,16,13436,136,2524,157,255,16253,3466410.712
1366,Caminha,2023,7,3920,12359,3,0,0,87,74,60,40,13442,136,2529,172,264,16279,3970979.241
1367,Caminha,2023,8,3575,12711,6,0,15,76,69,54,28,13450,136,2528,172,248,16286,4261419.254
1368,Caminha,2023,9,2856,13406,8,0,2,66,50,52,29,13449,136,2528,149,207,16262,3736347.696
1369,Caminha,2023,10,2162,14102,20,0,1,92,83,50,21,13448,136,2534,146,267,16264,3799311.1429999997
1370,Caminha,2023,11,1902,14395,6,0,2,99,75,52,27,13459,136,2534,168,261,16297,4121485.373
1371,Caminha,2023,12,1731,14556,5,0,1,66,50,68,15,13452,136,2534,165,205,16287,4946446.293
1372,Caminha,2024,1,1664,14602,7,0,0,78,64,76,29,13454,136,2532,144,254,16266,4789813.869
1373,Caminha,2024,2,1474,14801,1,0,0,53,32,37,8,13463,136,2533,143,131,16275,1540409.965
1375,Campo Maior,2022,3,1311,3975,0,0,0,15,15,10,4,3965,39,1232,50,44,5286,4439153.988
1376,Campo Maior,2022,4,1037,4244,3,0,0,32,31,16,13,3955,39,1235,52,95,5281,4075980.0479999995
1377,Campo Maior,2022,5,957,4330,2,0,0,59,37,30,13,3957,39,1240,51,141,5287,4738605.165
1378,Campo Maior,2022,6,1083,4208,1,0,0,63,55,23,18,3963,39,1242,47,160,5291,4933705.598
1379,Campo Maior,2022,7,799,4502,0,0,0,54,54,13,10,3968,39,1246,48,131,5301,6119633.388
1380,Campo Maior,2022,8,755,4554,0,0,0,62,54,15,15,3977,39,1247,46,146,5309,5485727.015
1381,Campo Maior,2022,9,758,4551,2,0,0,48,42,24,16,3976,39,1248,46,132,5309,4513639.934
1382,Campo Maior,2022,10,690,4631,3,0,0,44,36,34,19,3983,39,1254,45,136,5321,4043707.636
1383,Campo Maior,2022,11,720,4599,73,1,0,57,44,13,20,3985,39,1250,45,208,5319,4062272.137
1384,Campo Maior,2022,12,658,4662,102,0,7,38,37,18,19,3986,39,1252,43,221,5320,4004352.89
1385,Campo Maior,2023,1,590,4740,68,1,3,71,52,27,10,3995,39,1253,43,232,5330,4723450.451
1386,Campo Maior,2023,2,570,4761,41,0,0,42,43,18,10,3997,39,1252,43,154,5331,4102756.218
1387,Campo Maior,2023,3,492,4844,43,0,4,49,39,30,23,3996,39,1258,43,188,5336,4354920.128
1388,Campo Maior,2023,4,598,4738,22,0,0,52,47,13,17,3996,39,1258,43,151,5336,4058973.296
1389,Campo Maior,2023,5,490,4846,15,0,0,74,46,26,16,3996,39,1258,43,177,5336,4687476.856000001
1390,Campo Maior,2023,6,523,4849,3,0,0,61,52,23,20,4034,38,1258,42,159,5372,5085844.051
1391,Campo Maior,2023,7,507,4870,4,0,0,52,45,17,15,4040,38,1258,41,133,5377,5711230.748000001
1392,Campo Maior,2023,8,503,4877,0,0,3,62,52,29,14,4044,38,1257,41,160,5380,5113493.603
1393,Campo Maior,2023,9,592,4792,2,0,0,41,40,12,15,4048,38,1257,41,110,5384,4493766.841
1394,Campo Maior,2023,10,507,4879,6,0,0,70,60,21,15,4050,38,1257,41,172,5386,4270512.514
1395,Campo Maior,2023,11,536,4846,2,0,0,63,54,21,11,4049,38,1255,40,151,5382,4168180.5659999996
1396,Campo Maior,2023,12,533,4840,2,0,0,59,39,25,6,4045,38,1249,41,131,5373,4213653.728
1397,Campo Maior,2024,1,579,4791,3,0,0,77,56,17,20,4042,38,1249,41,173,5370,4685664.311
1398,Campo Maior,2024,2,418,4936,1,0,0,37,26,13,6,4029,38,1246,41,83,5354,1315960.689
1401,Cantanhede,2022,4,11629,12411,14,0,0,67,70,78,37,18589,261,5007,183,266,24040,17456942.148
1403,Cantanhede,2022,6,11512,12673,19,0,0,100,81,55,32,18610,261,5134,180,287,24185,17904559.443
1405,Cantanhede,2022,8,11259,12960,9,0,0,81,78,42,35,18654,261,5130,174,245,24219,16443589.081
1406,Cantanhede,2022,9,11139,13088,6,1,0,79,62,73,18,18682,261,5113,171,239,24227,17758622.95
1408,Cantanhede,2022,11,11079,13099,167,0,0,84,65,78,22,18702,261,5045,170,416,24178,17856228.982
1409,Cantanhede,2022,12,10895,13296,248,0,11,66,72,73,22,18718,261,5045,167,492,24191,17540689.809
1411,Cantanhede,2023,2,10708,13511,213,0,2,94,92,56,30,18754,261,5042,162,487,24219,17620427.903
1413,Cantanhede,2023,4,10112,14107,205,0,0,95,85,35,36,18758,261,5038,162,456,24219,15755644.205
1414,Cantanhede,2023,5,10032,14187,316,0,0,122,108,47,27,18758,261,5038,162,620,24219,16162330.499
1415,Cantanhede,2023,6,10300,14099,27,0,0,99,86,62,39,18821,262,5160,156,313,24399,16133725.882
1416,Cantanhede,2023,7,9745,14702,17,0,0,112,98,70,35,18842,262,5185,158,332,24447,16846612.212
1417,Cantanhede,2023,8,8911,15534,21,0,18,113,107,81,34,18861,262,5171,151,374,24445,13963628.238
1418,Cantanhede,2023,9,8110,16319,24,0,1,95,72,95,24,18875,262,5144,148,311,24429,16399208.862
1419,Cantanhede,2023,10,7654,16749,28,0,1,117,99,95,36,18881,262,5114,146,376,24403,17884958.804
1421,Cantanhede,2023,12,6840,17535,5,0,0,88,69,87,18,18878,264,5092,141,267,24375,17133693.139
1423,Cantanhede,2024,2,6477,17900,6,0,0,57,41,35,8,18886,264,5088,139,147,24377,3765609.927
1425,Carrazeda de Ansiães,2022,3,2318,3256,1,0,0,12,12,2,7,4452,64,1043,15,34,5574,1190538.367
1426,Carrazeda de Ansiães,2022,4,2292,3288,1,0,0,16,20,10,4,4456,64,1045,15,51,5580,1070450.31
1427,Carrazeda de Ansiães,2022,5,1978,3591,0,0,0,21,18,5,6,4442,64,1047,16,50,5569,1018240.018
1428,Carrazeda de Ansiães,2022,6,2102,3467,4,0,0,21,19,8,8,4440,64,1049,16,60,5569,1001634.292
1429,Carrazeda de Ansiães,2022,7,1792,3777,3,0,0,19,15,10,1,4438,64,1050,17,48,5569,1171757.237
1430,Carrazeda de Ansiães,2022,8,1705,3870,2,0,0,22,21,12,8,4440,64,1052,19,65,5575,1215064.367
1431,Carrazeda de Ansiães,2022,9,1480,4086,1,0,0,19,16,17,9,4434,64,1053,15,62,5566,1046470.102
1432,Carrazeda de Ansiães,2022,10,1358,4216,3,0,0,15,16,18,11,4437,66,1056,15,63,5574,1031823.071
1433,Carrazeda de Ansiães,2022,11,1373,4198,157,0,0,28,22,15,8,4437,66,1052,16,230,5571,1070816.3250000002
1434,Carrazeda de Ansiães,2022,12,977,4597,290,0,1,23,20,21,13,4439,66,1051,18,368,5574,1231805.898
1435,Carrazeda de Ansiães,2023,1,735,4844,137,0,11,30,20,18,18,4442,67,1053,17,234,5579,1255391.6879999998
1436,Carrazeda de Ansiães,2023,2,734,4850,92,0,0,13,16,19,9,4443,67,1057,17,149,5584,1106018.072
1437,Carrazeda de Ansiães,2023,3,540,5040,109,0,4,17,16,12,12,4440,67,1056,17,170,5580,1109332.443
1438,Carrazeda de Ansiães,2023,4,426,5154,33,0,0,27,15,16,17,4440,67,1056,17,108,5580,965645.887
1439,Carrazeda de Ansiães,2023,5,387,5193,105,0,0,31,28,14,13,4440,67,1056,17,191,5580,966074.951
1440,Carrazeda de Ansiães,2023,6,334,5255,37,0,0,16,17,13,13,4444,67,1064,14,96,5589,947126.959
1441,Carrazeda de Ansiães,2023,7,317,5280,3,1,0,19,13,17,14,4447,68,1067,15,67,5597,1143059.24
1442,Carrazeda de Ansiães,2023,8,294,5313,3,0,7,27,19,25,16,4452,68,1069,18,97,5607,1233949.3150000002
1443,Carrazeda de Ansiães,2023,9,295,5316,2,0,0,20,17,19,11,4455,68,1072,16,69,5611,1048077.442
1444,Carrazeda de Ansiães,2023,10,274,5346,5,0,0,21,18,13,22,4464,68,1073,15,79,5620,1081980.487
1445,Carrazeda de Ansiães,2023,11,282,5342,1,0,0,41,29,11,12,4463,68,1075,18,94,5624,1180740.147
1446,Carrazeda de Ansiães,2023,12,278,5345,0,0,0,17,11,13,2,4465,68,1072,18,43,5623,1406252.369
1447,Carrazeda de Ansiães,2024,1,251,5364,2,0,0,30,21,11,14,4463,68,1069,15,78,5615,1323801.263
1448,Carrazeda de Ansiães,2024,2,220,5384,3,0,0,16,12,10,9,4455,69,1065,15,50,5604,437331.737
1450,Carregal do Sal,2022,3,2590,4712,0,0,0,16,14,11,1,5517,79,1670,36,42,7302,2669807.124
1451,Carregal do Sal,2022,4,2471,4829,9,1,0,28,24,15,13,5520,79,1666,35,90,7300,2382834.184
1452,Carregal do Sal,2022,5,2364,4929,3,0,0,24,20,14,8,5513,79,1666,35,69,7293,2448499.028
1453,Carregal do Sal,2022,6,2331,4962,4,0,0,31,26,18,6,5514,79,1665,35,85,7293,2406738.748
1454,Carregal do Sal,2022,7,2268,5030,3,0,0,34,31,12,7,5518,79,1667,34,87,7298,2550937.5039999997
1455,Carregal do Sal,2022,8,2209,5099,3,0,0,38,34,18,9,5524,79,1670,35,102,7308,2439583.9
1456,Carregal do Sal,2022,9,2160,5146,2,0,0,28,25,11,8,5527,79,1665,35,74,7306,2354809.502
1457,Carregal do Sal,2022,10,2150,5153,6,0,0,29,28,18,9,5528,79,1664,32,90,7303,2396672.8559999997
1458,Carregal do Sal,2022,11,2144,5158,75,0,0,31,23,22,9,5532,79,1661,30,160,7302,2522233.211
1459,Carregal do Sal,2022,12,2089,5214,47,0,3,40,33,22,7,5531,79,1660,33,152,7303,2573748.0270000002
1460,Carregal do Sal,2023,1,2093,5204,71,1,7,42,37,26,17,5527,79,1661,30,201,7297,2923639.8200000003
1461,Carregal do Sal,2023,2,2148,5149,86,0,0,29,25,16,11,5529,78,1661,29,167,7297,2578365.471
1462,Carregal do Sal,2023,3,1830,5477,118,2,1,35,32,22,9,5537,78,1662,30,219,7307,2575393.97
1463,Carregal do Sal,2023,4,1743,5564,137,0,0,41,38,19,13,5537,78,1662,30,248,7307,2213138.519
1464,Carregal do Sal,2023,5,1510,5797,200,0,0,37,28,14,14,5537,78,1662,30,293,7307,2266431.948
1465,Carregal do Sal,2023,6,1430,5897,13,0,0,35,36,19,13,5551,78,1669,29,116,7327,2303738.272
1466,Carregal do Sal,2023,7,1342,5987,4,0,0,39,34,21,11,5551,78,1671,29,109,7329,2405241.762
1467,Carregal do Sal,2023,8,1370,5969,10,0,4,31,32,25,19,5556,78,1677,28,121,7339,2276944.86
1468,Carregal do Sal,2023,9,1168,6181,7,0,0,30,21,22,12,5566,78,1678,27,92,7349,2176859.557
1469,Carregal do Sal,2023,10,1151,6208,13,0,0,36,29,23,10,5573,78,1681,27,111,7359,2500117.907
1470,Carregal do Sal,2023,11,932,6430,3,0,0,52,35,25,8,5577,78,1681,26,123,7362,2687523.23
1471,Carregal do Sal,2023,12,751,6605,0,0,2,32,27,25,9,5572,78,1676,30,95,7356,2814620.6840000004
1472,Carregal do Sal,2024,1,699,6665,1,0,0,39,30,22,12,5581,78,1677,28,104,7364,2899331.742
1473,Carregal do Sal,2024,2,562,6799,3,0,0,22,18,17,5,5575,78,1680,28,65,7361,1227915.258
1475,Cartaxo,2022,3,5398,9241,3,0,0,51,39,27,9,11356,198,3043,42,129,14639,8734448.098
1476,Cartaxo,2022,4,5260,9395,11,0,0,76,70,51,34,11363,198,3047,47,242,14655,7582043.88
1477,Cartaxo,2022,5,5087,9563,2,0,0,109,79,46,33,11358,198,3054,40,269,14650,8580237.56
1478,Cartaxo,2022,6,5500,9160,1,0,0,124,116,38,45,11359,198,3063,40,324,14660,8352711.035
1479,Cartaxo,2022,7,5042,9629,0,0,0,91,92,54,15,11364,198,3062,47,252,14671,10156994.629
1480,Cartaxo,2022,8,4944,9739,4,0,0,138,112,52,31,11371,198,3064,50,337,14683,9844440.722
1481,Cartaxo,2022,9,4813,9846,5,0,0,98,96,64,30,11375,198,3046,40,293,14659,8572713.44
1482,Cartaxo,2022,10,4804,9882,17,0,0,66,64,47,25,11379,198,3047,62,219,14686,7617425.283
1483,Cartaxo,2022,11,4845,9831,133,0,0,121,95,56,25,11389,198,3048,41,430,14676,7391866.818
1484,Cartaxo,2022,12,4726,9961,184,1,2,92,98,64,25,11400,198,3050,39,466,14687,7602769.712
1485,Cartaxo,2023,1,4578,10116,172,0,9,142,107,101,26,11406,198,3050,40,557,14694,8361103.257
1486,Cartaxo,2023,2,4382,10323,215,0,0,108,110,66,28,11409,198,3057,41,527,14705,7694470.699999999
1487,Cartaxo,2023,3,4108,10615,195,0,2,118,103,81,30,11421,198,3063,41,529,14723,7623751.251
1488,Cartaxo,2023,4,4003,10720,149,0,0,135,121,45,32,11421,198,3063,41,482,14723,7264695.055
1489,Cartaxo,2023,5,3911,10812,151,0,0,175,135,65,40,11421,198,3063,41,566,14723,7791195.563
1490,Cartaxo,2023,6,3681,11073,59,0,0,135,109,58,40,11436,198,3081,39,401,14754,8171870.174000001
1491,Cartaxo,2023,7,3554,11209,6,0,0,123,126,69,52,11436,198,3088,41,376,14763,9729903.143
1492,Cartaxo,2023,8,3441,11329,8,0,12,115,110,51,40,11436,198,3088,48,336,14770,10419825.729
1493,Cartaxo,2023,9,2879,11895,16,0,0,93,77,64,29,11443,198,3095,38,279,14774,8531128.282
1494,Cartaxo,2023,10,2528,12274,8,0,2,131,98,77,30,11453,198,3093,58,346,14802,7455476.415
1495,Cartaxo,2023,11,2252,12532,4,0,0,153,131,69,31,11455,198,3088,43,388,14784,7423098.764
1496,Cartaxo,2023,12,2039,12740,5,0,0,114,88,65,8,11453,198,3086,42,280,14779,8183973.667
1497,Cartaxo,2024,1,1891,12897,5,0,0,161,124,78,28,11465,198,3090,35,396,14788,8362910.466
1498,Cartaxo,2024,2,1767,13017,6,0,0,75,75,40,10,11454,198,3097,35,206,14784,2807706.534
1525,Castanheira de Pêra,2022,3,1265,1356,0,0,0,1,2,2,6,2207,39,364,11,11,2621,782727.305
1526,Castanheira de Pêra,2022,4,1226,1392,1,0,0,9,6,13,5,2206,39,362,11,34,2618,760911.4739999999
1527,Castanheira de Pêra,2022,5,1025,1605,0,0,0,6,8,7,4,2210,39,370,11,25,2630,794139.542
1528,Castanheira de Pêra,2022,6,919,1717,5,0,0,13,5,4,6,2210,39,371,16,33,2636,769747.583
1529,Castanheira de Pêra,2022,7,688,1943,6,0,0,18,17,4,0,2208,39,373,11,45,2631,878082.504
1530,Castanheira de Pêra,2022,8,653,1982,2,0,0,13,8,6,11,2211,39,374,11,40,2635,796627.823
1531,Castanheira de Pêra,2022,9,636,1999,6,0,0,13,8,11,1,2211,39,374,11,39,2635,803384.352
1532,Castanheira de Pêra,2022,10,609,2025,3,0,0,10,11,5,5,2210,39,373,12,34,2634,827884.42
1533,Castanheira de Pêra,2022,11,613,2023,60,0,0,21,15,12,6,2213,39,373,11,114,2636,792023.946
1534,Castanheira de Pêra,2022,12,593,2049,46,0,2,11,11,5,10,2213,39,371,19,85,2642,817413.955
1535,Castanheira de Pêra,2023,1,592,2041,65,0,3,18,13,9,7,2211,39,372,11,115,2633,869165.841
1536,Castanheira de Pêra,2023,2,582,2049,31,0,0,13,10,13,8,2209,39,372,11,75,2631,744153.454
1537,Castanheira de Pêra,2023,3,455,2172,33,0,0,14,12,9,8,2209,39,368,11,76,2627,807928.876
1538,Castanheira de Pêra,2023,4,480,2147,17,0,0,13,11,7,9,2209,39,368,11,57,2627,715935.749
1539,Castanheira de Pêra,2023,5,504,2123,28,0,0,26,19,9,4,2209,39,368,11,86,2627,766005.206
1540,Castanheira de Pêra,2023,6,449,2194,7,0,0,15,17,8,12,2217,39,370,17,59,2643,778539.8740000001
1541,Castanheira de Pêra,2023,7,425,2212,1,0,0,9,11,9,7,2217,39,368,13,37,2637,828851.687
1542,Castanheira de Pêra,2023,8,416,2229,1,0,0,22,11,7,2,2218,39,370,18,43,2645,755226.002
1543,Castanheira de Pêra,2023,9,399,2249,0,0,0,19,18,8,10,2224,39,372,13,55,2648,787091.933
1544,Castanheira de Pêra,2023,10,341,2306,0,0,2,31,26,5,12,2221,39,374,13,76,2647,829402.9110000001
1545,Castanheira de Pêra,2023,11,299,2347,0,0,0,22,15,10,2,2217,39,377,13,49,2646,816381.155
1546,Castanheira de Pêra,2023,12,276,2369,1,0,0,16,13,15,3,2212,39,375,19,48,2645,882147.312
1547,Castanheira de Pêra,2024,1,271,2371,0,0,0,23,17,11,3,2215,39,375,13,54,2642,877896.5179999999
1548,Castanheira de Pêra,2024,2,227,2415,0,0,0,14,9,4,0,2213,39,377,13,27,2642,389939.482
1551,Castelo Branco,2022,4,14126,29291,22,0,0,193,177,146,78,33034,384,9852,147,616,43417,17031575.946000002
1552,Castelo Branco,2022,5,13144,30275,13,0,0,247,161,118,57,33044,384,9847,144,596,43419,17182484.259
1553,Castelo Branco,2022,6,13486,29960,12,0,0,307,222,123,88,33057,384,9860,145,752,43446,17134387.551
1556,Castelo Branco,2022,9,12648,30889,25,0,0,258,187,184,59,33122,384,9892,139,713,43537,16934071.688
1557,Castelo Branco,2022,10,12853,30721,60,0,0,246,201,183,67,33139,384,9904,147,757,43574,17036699.141000003
1558,Castelo Branco,2022,11,12557,31041,343,0,0,225,167,152,64,33161,384,9914,139,951,43598,17776762.683
1563,Castelo Branco,2023,4,10799,32864,536,0,0,265,222,119,90,33209,385,9931,138,1232,43663,15342197.555
1564,Castelo Branco,2023,5,10433,33230,533,0,1,343,273,139,104,33209,385,9931,138,1393,43663,15694937.127999999
1565,Castelo Branco,2023,6,10192,33595,108,0,0,263,222,156,74,33283,386,9981,137,823,43787,16664709.724000001
1568,Castelo Branco,2023,9,10213,33681,37,0,0,229,193,164,71,33361,386,10018,129,694,43894,16525433.754999999
1569,Castelo Branco,2023,10,10084,33856,45,0,0,289,216,162,67,33401,388,10020,131,779,43940,17641103.504
1573,Castelo Branco,2024,2,8684,35275,8,0,0,139,101,119,15,33400,388,10052,119,382,43959,7097990.245999999
