,concelho,ano,mes,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_REMOTE_ICP_CONFIGURATION,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,total_servicos_realizados,total_cpes,energia_ativa,cluster
5340,Vila Nova de Cerveira,2023,12.0,761,6071,6,0,0,34,26,22,9,5607,104,1066,55,97.0,6832.0,5212854.5709999995,0.0
5341,Vila Nova de Cerveira,2024,1.0,880,5962,2,0,0,54,34,21,15,5617,104,1071,50,126.0,6842.0,5610139.894,0.0
5342,Vila Nova de Cerveira,2024,2.0,798,6042,0,0,0,24,13,7,8,5614,103,1073,50,52.0,6840.0,1910430.6530000002,0.0
5344,Vila Nova de Foz Côa,2022,3.0,4550,2166,1,0,0,7,7,2,2,5401,126,1166,23,19.0,6716.0,1790893.553,2.0
5345,Vila Nova de Foz Côa,2022,4.0,4519,2190,1,0,0,17,14,11,6,5395,126,1166,22,49.0,6709.0,1581196.1099999999,2.0
5346,Vila Nova de Foz Côa,2022,5.0,4344,2358,1,0,0,24,21,13,7,5391,126,1163,22,66.0,6702.0,1577975.8839999998,2.0
5347,Vila Nova de Foz Côa,2022,6.0,4353,2358,0,1,0,21,23,12,11,5399,126,1165,21,68.0,6711.0,1603729.043,2.0
5348,Vila Nova de Foz Côa,2022,7.0,4200,2508,0,0,0,19,14,4,10,5396,126,1165,21,47.0,6708.0,1938109.232,2.0
5349,Vila Nova de Foz Côa,2022,8.0,4161,2555,0,0,0,15,14,7,13,5399,126,1167,24,49.0,6716.0,2276186.334,2.0
5350,Vila Nova de Foz Côa,2022,9.0,4114,2599,1,0,0,13,9,10,5,5403,126,1163,21,38.0,6713.0,2057493.872,2.0
5351,Vila Nova de Foz Côa,2022,10.0,4089,2621,4,1,0,12,9,9,11,5400,126,1163,21,46.0,6710.0,1772863.489,2.0
5352,Vila Nova de Foz Côa,2022,11.0,4053,2665,36,0,0,22,17,14,5,5402,126,1169,21,94.0,6718.0,1672065.862,2.0
5353,Vila Nova de Foz Côa,2022,12.0,4008,2720,41,0,1,14,15,12,10,5406,126,1171,25,93.0,6728.0,1882010.211,2.0
5354,Vila Nova de Foz Côa,2023,1.0,3973,2759,32,0,0,23,17,13,12,5411,126,1175,20,97.0,6732.0,1938685.391,2.0
5355,Vila Nova de Foz Côa,2023,2.0,3947,2797,22,0,0,12,15,9,8,5416,126,1174,28,66.0,6744.0,1723595.749,2.0
5356,Vila Nova de Foz Côa,2023,3.0,3894,2835,26,0,0,27,16,14,4,5413,126,1171,19,87.0,6729.0,1665251.335,2.0
5357,Vila Nova de Foz Côa,2023,4.0,3802,2927,42,0,0,20,15,15,10,5413,126,1171,19,102.0,6729.0,1459782.239,2.0
5358,Vila Nova de Foz Côa,2023,5.0,3727,3002,53,0,0,30,26,9,8,5413,126,1171,19,126.0,6729.0,1477523.305,2.0
5359,Vila Nova de Foz Côa,2023,6.0,3869,2871,6,0,0,21,18,18,2,5413,126,1183,18,65.0,6740.0,1415419.981,2.0
5360,Vila Nova de Foz Côa,2023,7.0,3580,3164,0,0,0,28,24,12,17,5414,127,1184,19,81.0,6744.0,1710168.012,2.0
5361,Vila Nova de Foz Côa,2023,8.0,3538,3218,1,0,2,31,24,12,5,5425,127,1183,21,75.0,6756.0,1915386.409,2.0
5362,Vila Nova de Foz Côa,2023,9.0,3556,3200,2,0,0,21,16,15,13,5427,128,1184,17,67.0,6756.0,1704051.231,2.0
5363,Vila Nova de Foz Côa,2023,10.0,3464,3293,2,0,0,24,20,18,12,5428,127,1186,16,76.0,6757.0,1641648.837,2.0
5364,Vila Nova de Foz Côa,2023,11.0,3555,3201,0,0,0,30,20,18,4,5423,127,1187,19,72.0,6756.0,1719423.6979999999,2.0
5365,Vila Nova de Foz Côa,2023,12.0,3366,3389,1,0,0,22,17,15,11,5424,127,1184,20,66.0,6755.0,2037509.8129999998,2.0
5366,Vila Nova de Foz Côa,2024,1.0,3385,3363,0,0,0,38,25,19,9,5425,127,1182,14,91.0,6748.0,2049300.511,2.0
5367,Vila Nova de Foz Côa,2024,2.0,3284,3483,0,0,0,14,12,12,2,5417,127,1200,23,40.0,6767.0,739304.006,1.0
5369,Vila Nova de Paiva,2022,3.0,2136,2539,2,0,0,6,6,3,2,3893,61,698,23,19.0,4675.0,1062347.482,1.0
5370,Vila Nova de Paiva,2022,4.0,2163,2512,6,0,0,9,9,9,5,3889,61,703,22,38.0,4675.0,941842.066,1.0
5371,Vila Nova de Paiva,2022,5.0,2105,2566,5,0,0,14,12,8,7,3885,61,704,21,46.0,4671.0,916876.2760000001,1.0
5372,Vila Nova de Paiva,2022,6.0,2038,2636,3,0,0,8,8,8,8,3882,61,708,23,35.0,4674.0,850832.933,1.0
5373,Vila Nova de Paiva,2022,7.0,1880,2798,1,0,0,11,9,9,7,3884,61,710,23,37.0,4678.0,1016970.34,1.0
5374,Vila Nova de Paiva,2022,8.0,1833,2850,2,0,0,14,10,17,7,3888,61,711,23,50.0,4683.0,1096407.949,1.0
5375,Vila Nova de Paiva,2022,9.0,1819,2855,0,0,0,16,15,14,7,3882,61,709,22,52.0,4674.0,936615.248,1.0
5376,Vila Nova de Paiva,2022,10.0,1836,2837,16,0,0,9,7,7,6,3877,61,712,23,45.0,4673.0,979696.5580000001,1.0
