,concelho,ano,mes,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_REMOTE_ICP_CONFIGURATION,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,total_servicos_realizados,total_cpes,energia_ativa,cluster
24,Aguiar da Beira,2022,3.0,2587,2331,0,1,0,3,2,2,1,3799,91,1008,20,9.0,4918.0,1333204.308,1.0
25,Aguiar da Beira,2022,4.0,2400,2511,0,0,0,12,14,7,10,3791,91,1008,21,43.0,4911.0,1255144.716,1.0
26,Aguiar da Beira,2022,5.0,2297,2612,1,0,0,15,7,6,12,3785,91,1012,21,41.0,4909.0,1242007.25,1.0
27,Aguiar da Beira,2022,6.0,2343,2561,0,0,0,9,9,9,5,3779,91,1015,19,32.0,4904.0,1240382.74,1.0
28,Aguiar da Beira,2022,7.0,2087,2819,0,0,0,11,9,2,3,3781,92,1015,18,25.0,4906.0,1421009.361,1.0
29,Aguiar da Beira,2022,8.0,2053,2851,1,0,0,20,18,9,9,3782,92,1016,14,57.0,4904.0,1421669.142,1.0
30,Aguiar da Beira,2022,9.0,2026,2881,1,1,0,7,6,7,4,3784,92,1015,16,26.0,4907.0,1236009.613,1.0
31,Aguiar da Beira,2022,10.0,1948,2958,4,0,0,11,6,8,7,3784,92,1014,16,36.0,4906.0,1268597.654,1.0
32,Aguiar da Beira,2022,11.0,2225,2677,36,0,0,5,4,10,5,3779,92,1015,16,60.0,4902.0,1325369.3059999999,1.0
35,Aguiar da Beira,2023,2.0,1691,3224,62,0,0,13,5,9,8,3793,95,1012,15,97.0,4915.0,1212040.8569999998,1.0
38,Aguiar da Beira,2023,5.0,1093,3823,62,0,0,20,18,10,7,3794,95,1013,14,117.0,4916.0,1141940.043,1.0
39,Aguiar da Beira,2023,6.0,1062,3871,4,0,0,25,16,8,6,3802,95,1023,13,59.0,4933.0,1164158.76,1.0
40,Aguiar da Beira,2023,7.0,882,4055,1,0,0,19,18,14,15,3806,95,1022,14,67.0,4937.0,1331011.379,1.0
41,Aguiar da Beira,2023,8.0,878,4062,2,0,2,19,11,25,11,3813,95,1021,11,70.0,4940.0,1393164.97,1.0
42,Aguiar da Beira,2023,9.0,784,4149,4,0,0,13,15,19,9,3811,95,1017,10,60.0,4933.0,1211059.677,1.0
43,Aguiar da Beira,2023,10.0,733,4202,11,0,0,13,7,19,2,3811,95,1018,11,52.0,4935.0,1294240.996,1.0
44,Aguiar da Beira,2023,11.0,583,4350,1,0,0,30,20,11,10,3806,95,1017,15,72.0,4933.0,1370767.904,1.0
45,Aguiar da Beira,2023,12.0,370,4561,0,1,0,20,10,15,7,3807,96,1014,14,53.0,4931.0,1505792.074,1.0
46,Aguiar da Beira,2024,1.0,366,4556,1,0,1,26,18,16,9,3805,96,1012,9,71.0,4922.0,1453830.807,1.0
47,Aguiar da Beira,2024,2.0,309,4620,1,0,0,9,7,4,2,3810,96,1014,9,23.0,4929.0,449808.19299999997,1.0
48,Alandroal,2022,3.0,2121,1977,0,0,0,10,7,3,3,3276,45,763,14,23.0,4098.0,1465867.199,1.0
49,Alandroal,2022,4.0,2123,1981,1,0,0,24,21,5,6,3275,45,768,16,57.0,4104.0,1386505.1030000001,1.0
50,Alandroal,2022,5.0,2061,2040,2,0,0,26,21,8,6,3272,45,770,14,63.0,4101.0,1662703.624,1.0
51,Alandroal,2022,6.0,2146,1965,4,0,0,19,20,6,7,3277,45,773,16,56.0,4111.0,1899780.379,1.0
52,Alandroal,2022,7.0,2037,2083,1,0,0,16,14,10,2,3285,45,777,13,43.0,4120.0,2339316.427,1.0
53,Alandroal,2022,8.0,2039,2093,1,0,0,23,25,9,10,3294,45,777,16,68.0,4132.0,2096816.307,1.0
54,Alandroal,2022,9.0,2021,2107,2,0,0,24,15,8,4,3292,45,778,13,53.0,4128.0,1541833.466,1.0
55,Alandroal,2022,10.0,2149,1978,8,0,0,16,16,8,6,3288,45,780,14,54.0,4127.0,1388714.551,1.0
56,Alandroal,2022,11.0,2021,2104,29,0,0,7,8,11,5,3287,45,781,12,60.0,4125.0,1269929.271,1.0
59,Alandroal,2023,2.0,1910,2218,15,0,0,14,14,7,8,3291,45,780,12,58.0,4128.0,1350287.463,1.0
60,Alandroal,2023,3.0,1865,2265,18,0,0,11,13,10,15,3291,45,782,12,67.0,4130.0,1432562.028,1.0
61,Alandroal,2023,4.0,1807,2323,36,0,0,25,22,6,9,3291,45,782,12,98.0,4130.0,1482598.727,1.0
62,Alandroal,2023,5.0,1732,2398,62,0,0,24,21,6,4,3291,45,782,12,117.0,4130.0,1658387.616,1.0
63,Alandroal,2023,6.0,1692,2441,2,0,0,18,18,2,8,3288,45,787,13,48.0,4133.0,1886887.396,1.0
64,Alandroal,2023,7.0,1670,2470,0,0,0,18,10,4,8,3289,45,793,13,40.0,4140.0,2233793.76,1.0
65,Alandroal,2023,8.0,1665,2483,1,0,1,20,19,8,10,3291,45,794,18,59.0,4148.0,2072915.375,1.0
66,Alandroal,2023,9.0,1778,2368,0,0,0,14,14,7,5,3295,45,792,14,40.0,4146.0,1566692.7,1.0
67,Alandroal,2023,10.0,1640,2501,3,0,0,21,18,11,12,3293,45,790,13,65.0,4141.0,1404028.0119999999,1.0
68,Alandroal,2023,11.0,1663,2475,2,0,0,33,31,11,6,3292,45,788,13,83.0,4138.0,1323581.219,1.0
69,Alandroal,2023,12.0,1559,2582,0,0,0,17,9,5,6,3294,45,787,15,37.0,4141.0,1523184.9340000001,1.0
70,Alandroal,2024,1.0,1322,2816,1,0,0,23,20,13,7,3294,45,788,11,64.0,4138.0,1493923.178,1.0
71,Alandroal,2024,2.0,1328,2806,2,0,0,15,10,2,1,3288,45,789,12,30.0,4134.0,508210.822,1.0
113,Alcanena,2022,3.0,5017,3166,0,0,0,11,9,13,8,6465,113,1577,28,41.0,8183.0,6824483.993000001,2.0
114,Alcanena,2022,4.0,4976,3208,5,0,0,20,17,17,15,6467,113,1576,28,74.0,8184.0,6107165.373,2.0
115,Alcanena,2022,5.0,4920,3262,3,0,0,32,33,17,11,6467,113,1574,28,96.0,8182.0,6260080.102000001,2.0
116,Alcanena,2022,6.0,4955,3244,2,0,0,30,25,19,8,6481,113,1575,30,84.0,8199.0,5860738.739,2.0
117,Alcanena,2022,7.0,4841,3363,2,0,0,27,22,11,4,6485,113,1576,30,66.0,8204.0,6098050.641,2.0
118,Alcanena,2022,8.0,4839,3366,3,0,0,39,38,15,10,6487,113,1576,29,105.0,8205.0,4956868.876,2.0
119,Alcanena,2022,9.0,4761,3452,3,1,0,37,36,21,4,6493,113,1578,29,102.0,8213.0,5513071.292,2.0
120,Alcanena,2022,10.0,4703,3511,8,0,0,29,26,24,4,6492,113,1580,29,91.0,8214.0,6160515.710999999,2.0
121,Alcanena,2022,11.0,4654,3570,42,0,0,30,28,12,7,6498,113,1584,29,119.0,8224.0,6199934.729,2.0
128,Alcanena,2023,6.0,3457,4808,48,0,0,50,44,21,22,6533,114,1587,31,185.0,8265.0,5641053.614,2.0
129,Alcanena,2023,7.0,3310,4957,6,0,0,45,45,13,8,6534,114,1587,32,117.0,8267.0,5416168.559,2.0
130,Alcanena,2023,8.0,3307,4954,7,0,12,47,35,22,22,6527,114,1588,32,145.0,8261.0,4849977.415,2.0
131,Alcanena,2023,9.0,2869,5399,6,0,0,41,37,26,8,6532,114,1592,30,118.0,8268.0,5427099.108999999,0.0
132,Alcanena,2023,10.0,2690,5587,4,0,1,42,39,33,9,6535,114,1599,29,128.0,8277.0,6296918.889,0.0
133,Alcanena,2023,11.0,2021,6254,1,0,0,70,57,42,11,6532,114,1600,29,181.0,8275.0,6454118.025,0.0
134,Alcanena,2023,12.0,1596,6696,0,0,0,40,29,40,15,6544,114,1600,34,124.0,8292.0,6344136.003,0.0
135,Alcanena,2024,1.0,1518,6769,2,0,0,64,50,47,13,6544,114,1600,29,176.0,8287.0,6995852.632,0.0
136,Alcanena,2024,2.0,1348,6943,1,0,0,33,29,25,7,6550,115,1599,27,95.0,8291.0,2141991.368,0.0
185,Alcoutim,2022,3.0,1678,2020,0,1,0,4,4,0,5,2858,90,740,10,14.0,3698.0,678264.023,1.0
186,Alcoutim,2022,4.0,1696,2007,0,0,0,8,7,6,11,2861,90,741,11,32.0,3703.0,623710.018,1.0
187,Alcoutim,2022,5.0,1643,2056,0,0,0,7,6,4,1,2857,90,742,10,18.0,3699.0,628344.3049999999,1.0
188,Alcoutim,2022,6.0,1655,2044,0,0,0,7,9,3,9,2855,90,744,10,28.0,3699.0,630371.8470000001,1.0
189,Alcoutim,2022,7.0,1586,2117,0,0,0,6,5,3,2,2859,90,744,10,16.0,3703.0,732914.64,1.0
190,Alcoutim,2022,8.0,1560,2146,0,0,0,10,13,4,4,2859,90,747,10,31.0,3706.0,713416.178,1.0
191,Alcoutim,2022,9.0,1558,2147,1,0,0,5,4,5,2,2857,90,748,10,17.0,3705.0,632213.5160000001,1.0
192,Alcoutim,2022,10.0,1528,2176,1,0,0,8,5,10,9,2855,90,749,10,33.0,3704.0,630800.927,1.0
193,Alcoutim,2022,11.0,1535,2173,16,0,0,10,8,9,9,2857,91,748,12,52.0,3708.0,627941.287,1.0
194,Alcoutim,2022,12.0,1499,2210,46,0,0,7,5,3,5,2857,91,748,13,66.0,3709.0,680103.4519999999,1.0
195,Alcoutim,2023,1.0,1476,2225,26,0,3,9,4,8,11,2849,91,750,11,61.0,3701.0,726129.874,1.0
196,Alcoutim,2023,2.0,1453,2251,18,0,0,9,8,7,4,2850,91,751,12,46.0,3704.0,649543.765,1.0
197,Alcoutim,2023,3.0,1411,2298,38,0,2,15,18,4,10,2851,91,750,17,87.0,3709.0,634513.5419999999,1.0
198,Alcoutim,2023,4.0,1437,2272,26,0,0,7,6,1,5,2851,91,750,17,45.0,3709.0,570949.078,1.0
199,Alcoutim,2023,5.0,1399,2310,40,0,0,8,6,1,5,2851,91,750,17,60.0,3709.0,581336.663,1.0
200,Alcoutim,2023,6.0,1380,2323,2,0,0,4,3,5,5,2849,91,751,12,19.0,3703.0,618310.078,1.0
201,Alcoutim,2023,7.0,1346,2360,0,0,0,13,10,6,0,2853,91,750,12,29.0,3706.0,734329.3539999999,1.0
202,Alcoutim,2023,8.0,1356,2355,1,0,1,9,8,5,3,2856,91,750,14,27.0,3711.0,750819.678,1.0
203,Alcoutim,2023,9.0,1323,2394,0,0,0,8,8,10,3,2863,91,751,12,29.0,3717.0,638565.044,1.0
204,Alcoutim,2023,10.0,1301,2415,0,0,0,11,7,7,6,2864,91,749,12,31.0,3716.0,611424.366,1.0
205,Alcoutim,2023,11.0,1323,2393,0,0,0,22,16,7,7,2865,91,748,12,52.0,3716.0,611390.848,1.0
206,Alcoutim,2023,12.0,1176,2539,0,0,0,5,8,5,3,2862,91,750,12,21.0,3715.0,706210.71,1.0
207,Alcoutim,2024,1.0,1221,2492,1,0,0,19,10,8,4,2861,91,749,12,42.0,3713.0,719354.905,1.0
208,Alcoutim,2024,2.0,1153,2563,0,0,0,3,7,3,2,2862,91,750,13,15.0,3716.0,204338.869,1.0
209,Alcácer do Sal,2022,3.0,1713,6656,2,0,0,31,22,14,7,6609,102,1595,63,76.0,8369.0,5723788.432,0.0
210,Alcácer do Sal,2022,4.0,1679,6694,2,0,0,60,63,34,20,6609,102,1598,64,179.0,8373.0,5627625.885,0.0
211,Alcácer do Sal,2022,5.0,1576,6796,7,0,0,71,59,28,14,6604,102,1599,67,179.0,8372.0,6284518.456,0.0
212,Alcácer do Sal,2022,6.0,1672,6713,9,0,0,77,71,28,19,6606,102,1606,71,204.0,8385.0,6249847.403,0.0
214,Alcácer do Sal,2022,8.0,1392,7029,17,0,0,77,69,35,23,6642,102,1611,66,221.0,8421.0,7960286.785,0.0
215,Alcácer do Sal,2022,9.0,1380,7033,8,1,0,51,53,42,15,6638,102,1607,66,170.0,8413.0,6639094.865,0.0
216,Alcácer do Sal,2022,10.0,1339,7070,15,0,0,52,47,47,18,6641,102,1600,66,179.0,8409.0,5590558.4180000005,0.0
220,Alcácer do Sal,2023,2.0,1196,7235,72,0,2,55,54,38,21,6670,102,1596,63,242.0,8431.0,5428734.041,0.0
221,Alcácer do Sal,2023,3.0,1098,7339,72,0,2,55,50,36,18,6676,102,1599,60,233.0,8437.0,5672287.432,0.0
222,Alcácer do Sal,2023,4.0,1111,7326,34,0,1,63,57,19,26,6676,102,1599,60,200.0,8437.0,5713075.35,0.0
224,Alcácer do Sal,2023,6.0,1043,7437,9,0,0,69,69,28,26,6703,102,1609,66,201.0,8480.0,6379326.83,0.0
225,Alcácer do Sal,2023,7.0,980,7505,5,0,7,53,51,27,15,6707,102,1608,68,158.0,8485.0,7714282.475000001,0.0
226,Alcácer do Sal,2023,8.0,946,7542,2,0,19,37,47,28,19,6713,102,1611,62,152.0,8488.0,8606519.662,0.0
227,Alcácer do Sal,2023,9.0,837,7663,6,0,1,51,41,34,20,6719,102,1615,64,153.0,8500.0,7438068.705,0.0
228,Alcácer do Sal,2023,10.0,806,7695,7,0,0,62,51,25,16,6727,102,1613,59,161.0,8501.0,5917464.382999999,0.0
229,Alcácer do Sal,2023,11.0,679,7836,6,0,1,89,66,33,16,6728,102,1614,71,211.0,8515.0,5495166.087,0.0
230,Alcácer do Sal,2023,12.0,661,7850,8,0,0,49,47,41,12,6725,102,1610,74,157.0,8511.0,6080398.688,0.0
231,Alcácer do Sal,2024,1.0,603,7910,6,0,0,71,67,42,17,6744,102,1610,57,203.0,8513.0,5989956.944,0.0
232,Alcácer do Sal,2024,2.0,543,7965,5,0,0,33,23,10,12,6740,102,1609,57,83.0,8508.0,1640374.0559999999,0.0
257,Alfândega da Fé,2022,3.0,653,3510,0,0,0,11,6,2,4,3255,57,820,31,23.0,4163.0,1037544.012,1.0
258,Alfândega da Fé,2022,4.0,722,3444,2,0,0,21,24,9,16,3255,57,822,32,72.0,4166.0,910876.5079999999,1.0
259,Alfândega da Fé,2022,5.0,586,3574,0,0,0,30,22,6,12,3251,57,820,32,70.0,4160.0,860744.611,1.0
260,Alfândega da Fé,2022,6.0,622,3537,3,0,0,25,24,8,9,3249,57,820,33,69.0,4159.0,828927.309,1.0
261,Alfândega da Fé,2022,7.0,552,3615,2,0,0,20,14,7,4,3251,57,824,35,47.0,4167.0,971471.815,1.0
262,Alfândega da Fé,2022,8.0,523,3648,2,0,0,30,22,11,11,3254,57,827,33,76.0,4171.0,987621.972,1.0
263,Alfândega da Fé,2022,9.0,535,3640,0,0,0,28,23,7,17,3251,57,835,32,75.0,4175.0,851088.364,1.0
264,Alfândega da Fé,2022,10.0,512,3658,6,0,0,25,25,7,8,3250,57,831,32,71.0,4170.0,871687.05,1.0
265,Alfândega da Fé,2022,11.0,506,3662,46,0,0,20,16,11,11,3249,57,830,32,104.0,4168.0,987341.485,1.0
266,Alfândega da Fé,2022,12.0,488,3678,65,0,2,20,18,8,7,3251,57,828,30,120.0,4166.0,1126202.314,1.0
267,Alfândega da Fé,2023,1.0,487,3677,33,0,3,27,24,16,14,3249,57,828,30,117.0,4164.0,1143991.352,1.0
268,Alfândega da Fé,2023,2.0,483,3678,24,1,0,25,19,8,7,3250,57,825,29,84.0,4161.0,981837.624,1.0
269,Alfândega da Fé,2023,3.0,390,3775,32,0,0,26,19,12,9,3249,57,830,29,98.0,4165.0,944159.507,1.0
270,Alfândega da Fé,2023,4.0,391,3771,32,0,1,23,25,15,15,3246,57,830,29,111.0,4162.0,782108.157,1.0
271,Alfândega da Fé,2023,5.0,400,3762,27,0,0,34,24,6,15,3246,57,830,29,106.0,4162.0,757150.014,1.0
272,Alfândega da Fé,2023,6.0,400,3767,11,0,0,28,27,5,12,3248,57,834,28,83.0,4167.0,767803.3459999999,1.0
273,Alfândega da Fé,2023,7.0,375,3797,2,0,1,26,16,10,8,3248,57,836,31,63.0,4172.0,861189.252,1.0
274,Alfândega da Fé,2023,8.0,364,3811,1,0,6,25,19,12,14,3251,57,839,28,77.0,4175.0,933593.733,1.0
275,Alfândega da Fé,2023,9.0,364,3810,6,0,0,16,14,12,9,3249,57,840,28,57.0,4174.0,794599.05,1.0
276,Alfândega da Fé,2023,10.0,336,3836,5,0,0,23,18,10,9,3247,57,841,27,65.0,4172.0,865118.754,1.0
277,Alfândega da Fé,2023,11.0,401,3773,0,0,0,32,18,11,4,3246,57,844,27,65.0,4174.0,1031841.6579999999,1.0
278,Alfândega da Fé,2023,12.0,375,3795,0,0,0,12,12,11,12,3244,57,843,26,47.0,4170.0,1313795.5529999998,1.0
279,Alfândega da Fé,2024,1.0,381,3790,2,0,0,27,23,18,7,3244,57,845,25,77.0,4171.0,1176532.477,1.0
280,Alfândega da Fé,2024,2.0,299,3870,3,0,0,12,6,7,3,3243,57,844,25,31.0,4169.0,334600.523,1.0
281,Alijó,2022,3.0,4797,4308,1,0,0,7,6,1,8,7451,92,1534,28,23.0,9105.0,2428380.451,2.0
282,Alijó,2022,4.0,4606,4497,4,0,0,21,24,14,9,7451,92,1534,26,72.0,9103.0,2153075.299,2.0
283,Alijó,2022,5.0,4433,4660,4,0,0,24,18,8,10,7441,92,1534,26,64.0,9093.0,2124160.733,2.0
284,Alijó,2022,6.0,4596,4507,6,0,0,33,30,11,10,7448,92,1535,28,90.0,9103.0,2027548.494,2.0
285,Alijó,2022,7.0,4266,4848,5,0,0,30,25,6,6,7451,92,1542,29,72.0,9114.0,2240281.245,2.0
286,Alijó,2022,8.0,4253,4863,2,0,0,39,30,9,12,7451,93,1544,28,92.0,9116.0,2443644.447,2.0
287,Alijó,2022,9.0,4300,4817,7,0,0,31,28,10,9,7454,94,1547,22,85.0,9117.0,2576026.654,2.0
288,Alijó,2022,10.0,4234,4873,9,0,0,25,24,12,8,7446,94,1545,22,78.0,9107.0,2458284.499,2.0
289,Alijó,2022,11.0,4259,4838,68,0,0,13,15,11,9,7438,94,1542,23,116.0,9097.0,2460291.564,2.0
290,Alijó,2022,12.0,4196,4902,52,0,1,36,23,20,10,7438,95,1544,21,142.0,9098.0,2645090.591,2.0
291,Alijó,2023,1.0,4191,4914,41,0,3,24,16,19,8,7441,95,1548,21,111.0,9105.0,2761064.2970000003,2.0
292,Alijó,2023,2.0,4175,4949,24,0,0,27,22,23,12,7454,95,1554,21,108.0,9124.0,2386613.924,2.0
293,Alijó,2023,3.0,3948,5184,35,1,5,27,23,12,6,7457,95,1559,21,109.0,9132.0,2392577.798,2.0
294,Alijó,2023,4.0,4010,5122,24,0,0,26,21,5,12,7457,95,1559,21,88.0,9132.0,2063516.443,2.0
295,Alijó,2023,5.0,4044,5088,21,0,0,36,30,13,12,7457,95,1559,21,112.0,9132.0,2074447.1020000002,2.0
296,Alijó,2023,6.0,4055,5091,5,0,0,28,17,10,10,7463,95,1565,23,70.0,9146.0,2096303.436,2.0
297,Alijó,2023,7.0,4009,5141,0,0,0,23,23,5,12,7471,95,1562,22,63.0,9150.0,2306959.376,2.0
298,Alijó,2023,8.0,3920,5242,2,0,1,30,25,10,10,7476,95,1568,23,78.0,9162.0,2586166.965,2.0
299,Alijó,2023,9.0,3988,5173,3,0,0,21,14,6,5,7476,95,1569,21,49.0,9161.0,2607964.291,2.0
300,Alijó,2023,10.0,3981,5182,4,0,1,24,18,10,5,7480,95,1567,21,62.0,9163.0,2376863.04,2.0
301,Alijó,2023,11.0,3983,5169,2,0,0,33,23,13,13,7467,95,1568,22,84.0,9152.0,2414492.707,2.0
302,Alijó,2023,12.0,3953,5192,1,0,0,29,18,12,3,7456,95,1572,22,63.0,9145.0,2814544.6210000003,2.0
303,Alijó,2024,1.0,4108,5039,1,0,0,21,15,11,9,7456,95,1573,23,57.0,9147.0,2858022.95,2.0
304,Alijó,2024,2.0,3866,5264,2,0,0,26,15,14,5,7445,95,1568,22,62.0,9130.0,984785.05,2.0
305,Aljezur,2022,3.0,3825,2591,1,0,0,1,2,1,5,5312,121,951,32,10.0,6416.0,2175334.1169999996,2.0
306,Aljezur,2022,4.0,3837,2581,2,0,0,2,2,5,7,5315,121,952,30,18.0,6418.0,2010322.3879999998,2.0
307,Aljezur,2022,5.0,3716,2712,4,0,0,3,4,14,2,5324,121,954,29,27.0,6428.0,1960034.831,2.0
308,Aljezur,2022,6.0,3696,2730,1,0,0,4,3,6,1,5325,121,951,29,15.0,6426.0,1911979.551,2.0
309,Aljezur,2022,7.0,3616,2826,1,0,0,3,2,9,2,5335,121,957,29,17.0,6442.0,2116728.95,1.0
310,Aljezur,2022,8.0,3540,2907,1,0,0,5,4,6,7,5339,121,959,28,23.0,6447.0,2161730.3649999998,1.0
311,Aljezur,2022,9.0,3675,2769,7,1,0,10,6,10,1,5337,121,959,27,35.0,6444.0,2025511.366,2.0
312,Aljezur,2022,10.0,3462,2988,9,0,0,11,12,8,6,5335,123,963,29,46.0,6450.0,2052819.284,1.0
313,Aljezur,2022,11.0,3502,2963,56,0,0,12,11,15,10,5343,123,970,29,104.0,6465.0,2040915.8480000002,1.0
320,Aljezur,2023,6.0,2777,3746,20,0,0,18,13,10,15,5397,124,980,22,76.0,6523.0,1887066.826,1.0
321,Aljezur,2023,7.0,2470,4070,2,0,1,28,29,14,16,5412,124,983,21,90.0,6540.0,2074796.621,1.0
322,Aljezur,2023,8.0,2495,4051,0,0,4,16,13,6,10,5415,124,987,20,49.0,6546.0,2201470.219,1.0
323,Aljezur,2023,9.0,2462,4096,4,0,0,13,15,8,10,5426,124,989,19,50.0,6558.0,2015867.16,1.0
324,Aljezur,2023,10.0,2178,4391,2,0,0,26,20,17,8,5429,124,993,23,73.0,6569.0,2073497.252,1.0
325,Aljezur,2023,11.0,2069,4501,1,0,1,31,28,22,7,5430,125,994,21,90.0,6570.0,2118314.414,1.0
326,Aljezur,2023,12.0,1989,4593,4,0,0,13,11,17,6,5438,125,996,23,51.0,6582.0,2422086.3340000003,1.0
327,Aljezur,2024,1.0,1926,4660,1,0,0,33,21,12,5,5442,125,996,23,72.0,6586.0,2327757.194,1.0
328,Aljezur,2024,2.0,1808,4778,2,0,0,11,10,11,3,5445,125,994,22,37.0,6586.0,765025.806,1.0
329,Aljustrel,2022,3.0,2037,3974,1,0,0,17,13,7,6,4885,60,1036,30,44.0,6011.0,17276170.533000004,1.0
330,Aljustrel,2022,4.0,1931,4078,4,0,0,36,36,13,15,4880,60,1038,31,104.0,6009.0,18426788.809,1.0
331,Aljustrel,2022,5.0,1788,4212,2,0,0,45,38,10,9,4875,60,1036,29,104.0,6000.0,18294846.394,1.0
332,Aljustrel,2022,6.0,1888,4116,2,0,0,50,44,11,11,4879,60,1037,28,118.0,6004.0,17452434.575,1.0
333,Aljustrel,2022,7.0,1756,4259,1,0,0,27,27,7,6,4888,60,1037,30,68.0,6015.0,15532313.114,1.0
334,Aljustrel,2022,8.0,1759,4268,1,0,0,46,38,12,7,4898,60,1038,31,104.0,6027.0,16869102.304,1.0
335,Aljustrel,2022,9.0,1738,4296,2,0,0,31,27,12,6,4905,60,1040,29,78.0,6034.0,17220352.661000002,1.0
336,Aljustrel,2022,10.0,1759,4273,7,0,0,29,24,16,2,4907,60,1037,28,78.0,6032.0,16572998.369,1.0
337,Aljustrel,2022,11.0,2001,4034,26,0,0,33,26,14,10,4908,60,1038,29,109.0,6035.0,16902953.474,1.0
338,Aljustrel,2022,12.0,1729,4307,51,0,1,35,29,10,7,4909,60,1038,29,133.0,6036.0,16338633.078000002,1.0
341,Aljustrel,2023,3.0,1673,4372,31,0,0,41,33,24,8,4919,60,1038,28,137.0,6045.0,18029042.701,1.0
342,Aljustrel,2023,4.0,1675,4370,23,0,0,45,47,11,12,4919,60,1038,28,138.0,6045.0,18586838.252,1.0
343,Aljustrel,2023,5.0,1653,4392,34,0,0,66,43,15,11,4919,60,1038,28,169.0,6045.0,19779191.25,1.0
344,Aljustrel,2023,6.0,1652,4406,4,0,0,42,39,19,14,4923,60,1043,32,118.0,6058.0,15177174.325000001,1.0
345,Aljustrel,2023,7.0,1651,4413,4,0,0,45,38,7,15,4926,60,1047,31,109.0,6064.0,20789067.378999997,1.0
346,Aljustrel,2023,8.0,1639,4429,2,0,8,43,34,11,6,4927,60,1050,31,104.0,6068.0,19409076.836,1.0
347,Aljustrel,2023,9.0,1632,4442,5,0,0,26,26,15,9,4932,60,1052,30,81.0,6074.0,17114429.043,1.0
348,Aljustrel,2023,10.0,1057,5011,3,0,0,44,36,18,11,4926,60,1052,30,112.0,6068.0,17187692.378,1.0
349,Aljustrel,2023,11.0,858,5218,1,0,0,49,45,30,9,4933,60,1052,31,134.0,6076.0,15699684.19,1.0
350,Aljustrel,2023,12.0,706,5373,0,0,0,32,24,28,3,4938,60,1050,31,87.0,6079.0,16219221.173999999,1.0
351,Aljustrel,2024,1.0,684,5388,1,0,0,42,35,29,6,4933,60,1049,30,113.0,6072.0,15468998.821,1.0
352,Aljustrel,2024,2.0,615,5458,1,0,0,17,17,10,1,4933,60,1049,31,46.0,6073.0,848090.179,1.0
354,Almeida,2022,3.0,3646,3361,0,0,0,3,2,5,5,5735,124,1138,10,15.0,7007.0,1614780.289,2.0
355,Almeida,2022,4.0,3671,3338,0,0,0,10,7,12,3,5732,125,1139,13,32.0,7009.0,1469326.009,2.0
356,Almeida,2022,5.0,3481,3512,1,0,0,10,10,4,3,5717,125,1140,11,28.0,6993.0,1346120.728,2.0
357,Almeida,2022,6.0,3473,3514,1,0,0,18,18,13,7,5715,125,1135,12,57.0,6987.0,1268519.121,2.0
358,Almeida,2022,7.0,3291,3696,1,0,0,8,9,11,3,5714,125,1135,13,32.0,6987.0,1400752.795,2.0
359,Almeida,2022,8.0,3198,3790,0,0,0,21,12,15,5,5714,125,1136,13,53.0,6988.0,1443849.935,2.0
360,Almeida,2022,9.0,3210,3773,1,0,0,12,9,12,5,5711,125,1135,12,39.0,6983.0,1267687.937,2.0
361,Almeida,2022,10.0,3067,3923,4,1,0,14,13,12,5,5714,125,1138,13,49.0,6990.0,1351148.926,2.0
363,Almeida,2022,12.0,3027,3965,74,0,0,13,12,15,8,5711,125,1141,15,122.0,6992.0,1769174.993,2.0
367,Almeida,2023,4.0,2603,4392,77,0,0,15,14,10,8,5713,125,1146,11,124.0,6995.0,1310348.544,1.0
369,Almeida,2023,6.0,2286,4728,24,0,0,18,16,11,8,5724,127,1152,11,77.0,7014.0,1231381.834,0.0
370,Almeida,2023,7.0,1915,5108,0,0,0,10,8,13,6,5730,127,1153,13,37.0,7023.0,1361520.354,0.0
371,Almeida,2023,8.0,1725,5301,0,0,6,17,16,18,11,5737,127,1151,11,68.0,7026.0,1460030.61,0.0
372,Almeida,2023,9.0,1508,5511,4,0,1,18,14,14,2,5731,127,1152,9,53.0,7019.0,1289834.841,0.0
373,Almeida,2023,10.0,1436,5587,11,0,0,21,15,13,9,5735,127,1152,9,69.0,7023.0,1431290.092,0.0
374,Almeida,2023,11.0,1167,5858,2,0,0,43,26,18,9,5738,127,1151,9,98.0,7025.0,1609941.67,0.0
375,Almeida,2023,12.0,921,6107,1,0,0,14,10,12,7,5737,127,1151,13,44.0,7028.0,1910821.433,0.0
376,Almeida,2024,1.0,866,6157,1,0,0,33,23,18,12,5738,127,1149,9,87.0,7023.0,1825426.815,0.0
377,Almeida,2024,2.0,770,6249,2,0,0,20,10,8,1,5732,127,1151,9,41.0,7019.0,645665.863,0.0
