,concelho,ano,mes,distrito,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente
121,Albufeira,2023,8,Faro,15308,38957
122,Albufeira,2023,9,Faro,14002,40264
123,Albufeira,2023,10,Faro,13371,40884
124,Albufeira,2023,11,Faro,12209,41764
125,Albufeira,2023,12,Faro,10764,43205
126,Albufeira,2024,1,Faro,10322,43795
127,Albufeira,2024,2,Faro,8924,45211
128,Albufeira,2024,3,Faro,7976,46323
129,Albufeira,2024,4,Faro,7900,46406
130,Alcanena,2022,3,Santarém,5017,3166
131,Alcanena,2022,4,Santarém,4976,3208
132,Alcanena,2022,5,Santarém,4920,3262
133,Alcanena,2022,6,Santarém,4955,3244
134,Alcanena,2022,7,Santarém,4841,3363
135,Alcanena,2022,8,Santarém,4839,3366
136,Alcanena,2022,9,Santarém,4761,3452
137,Alcanena,2022,10,Santarém,4703,3511
138,Alcanena,2022,11,Santarém,4654,3570
139,Alcanena,2022,12,Santarém,4526,3708
140,Alcanena,2023,1,Santarém,4335,3892
141,Alcanena,2023,2,Santarém,4224,4004
142,Alcanena,2023,3,Santarém,3881,4358
143,Alcanena,2023,4,Santarém,3753,4486
144,Alcanena,2023,5,Santarém,3679,4560
145,Alcanena,2023,6,Santarém,3457,4808
146,Alcanena,2023,7,Santarém,3310,4957
147,Alcanena,2023,8,Santarém,3307,4954
148,Alcanena,2023,9,Santarém,2869,5399
149,Alcanena,2023,10,Santarém,2690,5587
150,Alcanena,2023,11,Santarém,2021,6254
151,Alcanena,2023,12,Santarém,1596,6696
152,Alcanena,2024,1,Santarém,1518,6769
153,Alcanena,2024,2,Santarém,1348,6943
154,Alcanena,2024,3,Santarém,1248,7045
155,Alcanena,2024,4,Santarém,1214,7078
156,Alcobaça,2022,3,Leiria,14480,24178
157,Alcobaça,2022,4,Leiria,14548,24131
158,Alcobaça,2022,5,Leiria,14289,24443
159,Alcobaça,2022,6,Leiria,14384,24410
160,Alcobaça,2022,7,Leiria,14046,24832
161,Alcobaça,2022,8,Leiria,13956,24948
162,Alcobaça,2022,9,Leiria,13833,25097
163,Alcobaça,2022,10,Leiria,13792,25163
164,Alcobaça,2022,11,Leiria,13559,25376
165,Alcobaça,2022,12,Leiria,13328,25634
166,Alcobaça,2023,1,Leiria,13511,25463
167,Alcobaça,2023,2,Leiria,12981,26024
168,Alcobaça,2023,3,Leiria,12059,26968
169,Alcobaça,2023,4,Leiria,11416,27611
170,Alcobaça,2023,5,Leiria,10849,28178
171,Alcobaça,2023,6,Leiria,10476,28769
172,Alcobaça,2023,7,Leiria,9773,29541
173,Alcobaça,2023,8,Leiria,9470,29874
174,Alcobaça,2023,9,Leiria,9438,29931
175,Alcobaça,2023,10,Leiria,9017,30389
176,Alcobaça,2023,11,Leiria,8744,30678
177,Alcobaça,2023,12,Leiria,7768,31664
178,Alcobaça,2024,1,Leiria,7170,32269
179,Alcobaça,2024,2,Leiria,6291,33122
180,Alcobaça,2024,3,Leiria,5794,33647
181,Alcobaça,2024,4,Leiria,5786,33654
182,Alcochete,2022,3,Setúbal,542,11151
183,Alcochete,2022,4,Setúbal,660,11034
184,Alcochete,2022,5,Setúbal,588,11115
185,Alcochete,2022,6,Setúbal,683,11029
186,Alcochete,2022,7,Setúbal,540,11196
187,Alcochete,2022,8,Setúbal,617,11136
188,Alcochete,2022,9,Setúbal,571,11193
189,Alcochete,2022,10,Setúbal,576,11202
190,Alcochete,2022,11,Setúbal,641,11154
191,Alcochete,2022,12,Setúbal,554,11239
192,Alcochete,2023,1,Setúbal,503,11284
193,Alcochete,2023,2,Setúbal,579,11222
194,Alcochete,2023,3,Setúbal,555,11255
195,Alcochete,2023,4,Setúbal,620,11190
196,Alcochete,2023,5,Setúbal,564,11246
197,Alcochete,2023,6,Setúbal,581,11238
198,Alcochete,2023,7,Setúbal,654,11194
199,Alcochete,2023,8,Setúbal,736,11131
200,Alcochete,2023,9,Setúbal,688,11177
201,Alcochete,2023,10,Setúbal,662,11210
202,Alcochete,2023,11,Setúbal,703,11179
203,Alcochete,2023,12,Setúbal,872,11016
204,Alcochete,2024,1,Setúbal,896,10994
205,Alcochete,2024,2,Setúbal,706,11177
206,Alcochete,2024,3,Setúbal,542,11346
207,Alcochete,2024,4,Setúbal,598,11288
208,Alcoutim,2022,3,Faro,1678,2020
209,Alcoutim,2022,4,Faro,1696,2007
210,Alcoutim,2022,5,Faro,1643,2056
211,Alcoutim,2022,6,Faro,1655,2044
212,Alcoutim,2022,7,Faro,1586,2117
213,Alcoutim,2022,8,Faro,1560,2146
214,Alcoutim,2022,9,Faro,1558,2147
215,Alcoutim,2022,10,Faro,1528,2176
216,Alcoutim,2022,11,Faro,1535,2173
217,Alcoutim,2022,12,Faro,1499,2210
218,Alcoutim,2023,1,Faro,1476,2225
219,Alcoutim,2023,2,Faro,1453,2251
220,Alcoutim,2023,3,Faro,1411,2298
221,Alcoutim,2023,4,Faro,1437,2272
222,Alcoutim,2023,5,Faro,1399,2310
223,Alcoutim,2023,6,Faro,1380,2323
224,Alcoutim,2023,7,Faro,1346,2360
225,Alcoutim,2023,8,Faro,1356,2355
226,Alcoutim,2023,9,Faro,1323,2394
227,Alcoutim,2023,10,Faro,1301,2415
228,Alcoutim,2023,11,Faro,1323,2393
229,Alcoutim,2023,12,Faro,1176,2539
230,Alcoutim,2024,1,Faro,1221,2492
231,Alcoutim,2024,2,Faro,1153,2563
232,Alcoutim,2024,3,Faro,1115,2602
233,Alcoutim,2024,4,Faro,1116,2601
234,Alcácer do Sal,2022,3,Setúbal,1713,6656
