,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_REMOTE_ICP_CONFIGURATION,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,cluster,ano,concelho
0,2587,2331,0,1,0,3,2,2,1,3799,91,1008,20,1,2022,Aguiar da Beira
1,2400,2511,0,0,0,12,14,7,10,3791,91,1008,21,1,2022,Aguiar da Beira
2,2297,2612,1,0,0,15,7,6,12,3785,91,1012,21,1,2022,Aguiar da Beira
3,2343,2561,0,0,0,9,9,9,5,3779,91,1015,19,1,2022,Aguiar da Beira
4,2087,2819,0,0,0,11,9,2,3,3781,92,1015,18,1,2022,Aguiar da Beira
5,2053,2851,1,0,0,20,18,9,9,3782,92,1016,14,1,2022,Aguiar da Beira
6,2026,2881,1,1,0,7,6,7,4,3784,92,1015,16,1,2022,Aguiar da Beira
7,1948,2958,4,0,0,11,6,8,7,3784,92,1014,16,1,2022,Aguiar da Beira
8,2225,2677,36,0,0,5,4,10,5,3779,92,1015,16,1,2022,Aguiar da Beira
9,1691,3224,62,0,0,13,5,9,8,3793,95,1012,15,1,2023,Aguiar da Beira
10,1093,3823,62,0,0,20,18,10,7,3794,95,1013,14,1,2023,Aguiar da Beira
11,1062,3871,4,0,0,25,16,8,6,3802,95,1023,13,1,2023,Aguiar da Beira
12,882,4055,1,0,0,19,18,14,15,3806,95,1022,14,1,2023,Aguiar da Beira
13,878,4062,2,0,2,19,11,25,11,3813,95,1021,11,1,2023,Aguiar da Beira
14,784,4149,4,0,0,13,15,19,9,3811,95,1017,10,1,2023,Aguiar da Beira
15,733,4202,11,0,0,13,7,19,2,3811,95,1018,11,1,2023,Aguiar da Beira
16,583,4350,1,0,0,30,20,11,10,3806,95,1017,15,1,2023,Aguiar da Beira
17,370,4561,0,1,0,20,10,15,7,3807,96,1014,14,1,2023,Aguiar da Beira
18,366,4556,1,0,1,26,18,16,9,3805,96,1012,9,1,2024,Aguiar da Beira
19,309,4620,1,0,0,9,7,4,2,3810,96,1014,9,1,2024,Aguiar da Beira
20,205,4731,10,0,0,13,12,10,5,3813,96,1018,9,1,2024,Aguiar da Beira
21,2121,1977,0,0,0,10,7,3,3,3276,45,763,14,1,2022,Alandroal
22,2123,1981,1,0,0,24,21,5,6,3275,45,768,16,1,2022,Alandroal
23,2061,2040,2,0,0,26,21,8,6,3272,45,770,14,1,2022,Alandroal
24,2146,1965,4,0,0,19,20,6,7,3277,45,773,16,1,2022,Alandroal
25,2037,2083,1,0,0,16,14,10,2,3285,45,777,13,1,2022,Alandroal
26,2039,2093,1,0,0,23,25,9,10,3294,45,777,16,1,2022,Alandroal
27,2021,2107,2,0,0,24,15,8,4,3292,45,778,13,1,2022,Alandroal
28,2149,1978,8,0,0,16,16,8,6,3288,45,780,14,1,2022,Alandroal
29,2021,2104,29,0,0,7,8,11,5,3287,45,781,12,1,2022,Alandroal
30,1910,2218,15,0,0,14,14,7,8,3291,45,780,12,1,2023,Alandroal
31,1865,2265,18,0,0,11,13,10,15,3291,45,782,12,1,2023,Alandroal
32,1807,2323,36,0,0,25,22,6,9,3291,45,782,12,1,2023,Alandroal
33,1732,2398,62,0,0,24,21,6,4,3291,45,782,12,1,2023,Alandroal
34,1692,2441,2,0,0,18,18,2,8,3288,45,787,13,1,2023,Alandroal
35,1670,2470,0,0,0,18,10,4,8,3289,45,793,13,1,2023,Alandroal
36,1665,2483,1,0,1,20,19,8,10,3291,45,794,18,1,2023,Alandroal
37,1778,2368,0,0,0,14,14,7,5,3295,45,792,14,1,2023,Alandroal
38,1640,2501,3,0,0,21,18,11,12,3293,45,790,13,1,2023,Alandroal
39,1663,2475,2,0,0,33,31,11,6,3292,45,788,13,1,2023,Alandroal
40,1559,2582,0,0,0,17,9,5,6,3294,45,787,15,1,2023,Alandroal
41,1322,2816,1,0,0,23,20,13,7,3294,45,788,11,1,2024,Alandroal
42,1328,2806,2,0,0,15,10,2,1,3288,45,789,12,1,2024,Alandroal
43,1218,2913,1,0,0,19,12,14,7,3286,45,791,9,1,2024,Alandroal
44,5017,3166,0,0,0,11,9,13,8,6465,113,1577,28,2,2022,Alcanena
45,4976,3208,5,0,0,20,17,17,15,6467,113,1576,28,2,2022,Alcanena
46,4920,3262,3,0,0,32,33,17,11,6467,113,1574,28,2,2022,Alcanena
47,4955,3244,2,0,0,30,25,19,8,6481,113,1575,30,2,2022,Alcanena
48,4841,3363,2,0,0,27,22,11,4,6485,113,1576,30,2,2022,Alcanena
49,4839,3366,3,0,0,39,38,15,10,6487,113,1576,29,2,2022,Alcanena
50,4761,3452,3,1,0,37,36,21,4,6493,113,1578,29,2,2022,Alcanena
51,4703,3511,8,0,0,29,26,24,4,6492,113,1580,29,2,2022,Alcanena
52,4654,3570,42,0,0,30,28,12,7,6498,113,1584,29,2,2022,Alcanena
53,3457,4808,48,0,0,50,44,21,22,6533,114,1587,31,2,2023,Alcanena
54,3310,4957,6,0,0,45,45,13,8,6534,114,1587,32,2,2023,Alcanena
55,3307,4954,7,0,12,47,35,22,22,6527,114,1588,32,2,2023,Alcanena
56,2869,5399,6,0,0,41,37,26,8,6532,114,1592,30,0,2023,Alcanena
57,2690,5587,4,0,1,42,39,33,9,6535,114,1599,29,0,2023,Alcanena
58,2021,6254,1,0,0,70,57,42,11,6532,114,1600,29,0,2023,Alcanena
59,1596,6696,0,0,0,40,29,40,15,6544,114,1600,34,0,2023,Alcanena
60,1518,6769,2,0,0,64,50,47,13,6544,114,1600,29,0,2024,Alcanena
61,1348,6943,1,0,0,33,29,25,7,6550,115,1599,27,0,2024,Alcanena
62,1248,7045,1,0,0,54,50,31,10,6551,115,1601,26,0,2024,Alcanena
63,1678,2020,0,1,0,4,4,0,5,2858,90,740,10,1,2022,Alcoutim
64,1696,2007,0,0,0,8,7,6,11,2861,90,741,11,1,2022,Alcoutim
65,1643,2056,0,0,0,7,6,4,1,2857,90,742,10,1,2022,Alcoutim
66,1655,2044,0,0,0,7,9,3,9,2855,90,744,10,1,2022,Alcoutim
67,1586,2117,0,0,0,6,5,3,2,2859,90,744,10,1,2022,Alcoutim
68,1560,2146,0,0,0,10,13,4,4,2859,90,747,10,1,2022,Alcoutim
69,1558,2147,1,0,0,5,4,5,2,2857,90,748,10,1,2022,Alcoutim
70,1528,2176,1,0,0,8,5,10,9,2855,90,749,10,1,2022,Alcoutim
71,1535,2173,16,0,0,10,8,9,9,2857,91,748,12,1,2022,Alcoutim
72,1499,2210,46,0,0,7,5,3,5,2857,91,748,13,1,2022,Alcoutim
73,1476,2225,26,0,3,9,4,8,11,2849,91,750,11,1,2023,Alcoutim
74,1453,2251,18,0,0,9,8,7,4,2850,91,751,12,1,2023,Alcoutim
75,1411,2298,38,0,2,15,18,4,10,2851,91,750,17,1,2023,Alcoutim
76,1437,2272,26,0,0,7,6,1,5,2851,91,750,17,1,2023,Alcoutim
77,1399,2310,40,0,0,8,6,1,5,2851,91,750,17,1,2023,Alcoutim
78,1380,2323,2,0,0,4,3,5,5,2849,91,751,12,1,2023,Alcoutim
79,1346,2360,0,0,0,13,10,6,0,2853,91,750,12,1,2023,Alcoutim
80,1356,2355,1,0,1,9,8,5,3,2856,91,750,14,1,2023,Alcoutim
81,1323,2394,0,0,0,8,8,10,3,2863,91,751,12,1,2023,Alcoutim
82,1301,2415,0,0,0,11,7,7,6,2864,91,749,12,1,2023,Alcoutim
83,1323,2393,0,0,0,22,16,7,7,2865,91,748,12,1,2023,Alcoutim
84,1176,2539,0,0,0,5,8,5,3,2862,91,750,12,1,2023,Alcoutim
85,1221,2492,1,0,0,19,10,8,4,2861,91,749,12,1,2024,Alcoutim
86,1153,2563,0,0,0,3,7,3,2,2862,91,750,13,1,2024,Alcoutim
87,1115,2602,0,0,0,9,7,9,2,2862,91,751,13,1,2024,Alcoutim
88,1713,6656,2,0,0,31,22,14,7,6609,102,1595,63,0,2022,Alcácer do Sal
89,1679,6694,2,0,0,60,63,34,20,6609,102,1598,64,0,2022,Alcácer do Sal
90,1576,6796,7,0,0,71,59,28,14,6604,102,1599,67,0,2022,Alcácer do Sal
91,1672,6713,9,0,0,77,71,28,19,6606,102,1606,71,0,2022,Alcácer do Sal
92,1392,7029,17,0,0,77,69,35,23,6642,102,1611,66,0,2022,Alcácer do Sal
93,1380,7033,8,1,0,51,53,42,15,6638,102,1607,66,0,2022,Alcácer do Sal
94,1339,7070,15,0,0,52,47,47,18,6641,102,1600,66,0,2022,Alcácer do Sal
95,1196,7235,72,0,2,55,54,38,21,6670,102,1596,63,0,2023,Alcácer do Sal
96,1098,7339,72,0,2,55,50,36,18,6676,102,1599,60,0,2023,Alcácer do Sal
97,1111,7326,34,0,1,63,57,19,26,6676,102,1599,60,0,2023,Alcácer do Sal
98,1043,7437,9,0,0,69,69,28,26,6703,102,1609,66,0,2023,Alcácer do Sal
99,980,7505,5,0,7,53,51,27,15,6707,102,1608,68,0,2023,Alcácer do Sal
100,946,7542,2,0,19,37,47,28,19,6713,102,1611,62,0,2023,Alcácer do Sal
101,837,7663,6,0,1,51,41,34,20,6719,102,1615,64,0,2023,Alcácer do Sal
102,806,7695,7,0,0,62,51,25,16,6727,102,1613,59,0,2023,Alcácer do Sal
103,679,7836,6,0,1,89,66,33,16,6728,102,1614,71,0,2023,Alcácer do Sal
104,661,7850,8,0,0,49,47,41,12,6725,102,1610,74,0,2023,Alcácer do Sal
105,603,7910,6,0,0,71,67,42,17,6744,102,1610,57,0,2024,Alcácer do Sal
106,543,7965,5,0,0,33,23,10,12,6740,102,1609,57,0,2024,Alcácer do Sal
107,539,7988,7,0,5,51,43,30,17,6744,102,1627,54,0,2024,Alcácer do Sal
108,653,3510,0,0,0,11,6,2,4,3255,57,820,31,1,2022,Alfândega da Fé
109,722,3444,2,0,0,21,24,9,16,3255,57,822,32,1,2022,Alfândega da Fé
110,586,3574,0,0,0,30,22,6,12,3251,57,820,32,1,2022,Alfândega da Fé
111,622,3537,3,0,0,25,24,8,9,3249,57,820,33,1,2022,Alfândega da Fé
112,552,3615,2,0,0,20,14,7,4,3251,57,824,35,1,2022,Alfândega da Fé
113,523,3648,2,0,0,30,22,11,11,3254,57,827,33,1,2022,Alfândega da Fé
114,535,3640,0,0,0,28,23,7,17,3251,57,835,32,1,2022,Alfândega da Fé
115,512,3658,6,0,0,25,25,7,8,3250,57,831,32,1,2022,Alfândega da Fé
116,506,3662,46,0,0,20,16,11,11,3249,57,830,32,1,2022,Alfândega da Fé
117,488,3678,65,0,2,20,18,8,7,3251,57,828,30,1,2022,Alfândega da Fé
118,487,3677,33,0,3,27,24,16,14,3249,57,828,30,1,2023,Alfândega da Fé
119,483,3678,24,1,0,25,19,8,7,3250,57,825,29,1,2023,Alfândega da Fé
120,390,3775,32,0,0,26,19,12,9,3249,57,830,29,1,2023,Alfândega da Fé
121,391,3771,32,0,1,23,25,15,15,3246,57,830,29,1,2023,Alfândega da Fé
122,400,3762,27,0,0,34,24,6,15,3246,57,830,29,1,2023,Alfândega da Fé
123,400,3767,11,0,0,28,27,5,12,3248,57,834,28,1,2023,Alfândega da Fé
124,375,3797,2,0,1,26,16,10,8,3248,57,836,31,1,2023,Alfândega da Fé
125,364,3811,1,0,6,25,19,12,14,3251,57,839,28,1,2023,Alfândega da Fé
126,364,3810,6,0,0,16,14,12,9,3249,57,840,28,1,2023,Alfândega da Fé
127,336,3836,5,0,0,23,18,10,9,3247,57,841,27,1,2023,Alfândega da Fé
128,401,3773,0,0,0,32,18,11,4,3246,57,844,27,1,2023,Alfândega da Fé
129,375,3795,0,0,0,12,12,11,12,3244,57,843,26,1,2023,Alfândega da Fé
130,381,3790,2,0,0,27,23,18,7,3244,57,845,25,1,2024,Alfândega da Fé
131,299,3870,3,0,0,12,6,7,3,3243,57,844,25,1,2024,Alfândega da Fé
132,246,3929,1,0,0,13,13,6,7,3247,57,845,26,1,2024,Alfândega da Fé
133,4797,4308,1,0,0,7,6,1,8,7451,92,1534,28,2,2022,Alijó
134,4606,4497,4,0,0,21,24,14,9,7451,92,1534,26,2,2022,Alijó
135,4433,4660,4,0,0,24,18,8,10,7441,92,1534,26,2,2022,Alijó
136,4596,4507,6,0,0,33,30,11,10,7448,92,1535,28,2,2022,Alijó
137,4266,4848,5,0,0,30,25,6,6,7451,92,1542,29,2,2022,Alijó
138,4253,4863,2,0,0,39,30,9,12,7451,93,1544,28,2,2022,Alijó
139,4300,4817,7,0,0,31,28,10,9,7454,94,1547,22,2,2022,Alijó
140,4234,4873,9,0,0,25,24,12,8,7446,94,1545,22,2,2022,Alijó
141,4259,4838,68,0,0,13,15,11,9,7438,94,1542,23,2,2022,Alijó
142,4196,4902,52,0,1,36,23,20,10,7438,95,1544,21,2,2022,Alijó
143,4191,4914,41,0,3,24,16,19,8,7441,95,1548,21,2,2023,Alijó
144,4175,4949,24,0,0,27,22,23,12,7454,95,1554,21,2,2023,Alijó
145,3948,5184,35,1,5,27,23,12,6,7457,95,1559,21,2,2023,Alijó
146,4010,5122,24,0,0,26,21,5,12,7457,95,1559,21,2,2023,Alijó
147,4044,5088,21,0,0,36,30,13,12,7457,95,1559,21,2,2023,Alijó
148,4055,5091,5,0,0,28,17,10,10,7463,95,1565,23,2,2023,Alijó
149,4009,5141,0,0,0,23,23,5,12,7471,95,1562,22,2,2023,Alijó
150,3920,5242,2,0,1,30,25,10,10,7476,95,1568,23,2,2023,Alijó
151,3988,5173,3,0,0,21,14,6,5,7476,95,1569,21,2,2023,Alijó
152,3981,5182,4,0,1,24,18,10,5,7480,95,1567,21,2,2023,Alijó
153,3983,5169,2,0,0,33,23,13,13,7467,95,1568,22,2,2023,Alijó
154,3953,5192,1,0,0,29,18,12,3,7456,95,1572,22,2,2023,Alijó
155,4108,5039,1,0,0,21,15,11,9,7456,95,1573,23,2,2024,Alijó
156,3866,5264,2,0,0,26,15,14,5,7445,95,1568,22,2,2024,Alijó
157,3640,5490,3,0,1,26,24,16,10,7442,95,1570,23,2,2024,Alijó
158,3825,2591,1,0,0,1,2,1,5,5312,121,951,32,2,2022,Aljezur
159,3837,2581,2,0,0,2,2,5,7,5315,121,952,30,2,2022,Aljezur
160,3716,2712,4,0,0,3,4,14,2,5324,121,954,29,2,2022,Aljezur
161,3696,2730,1,0,0,4,3,6,1,5325,121,951,29,2,2022,Aljezur
162,3616,2826,1,0,0,3,2,9,2,5335,121,957,29,1,2022,Aljezur
163,3540,2907,1,0,0,5,4,6,7,5339,121,959,28,1,2022,Aljezur
164,3675,2769,7,1,0,10,6,10,1,5337,121,959,27,2,2022,Aljezur
165,3462,2988,9,0,0,11,12,8,6,5335,123,963,29,1,2022,Aljezur
166,3502,2963,56,0,0,12,11,15,10,5343,123,970,29,1,2022,Aljezur
167,2777,3746,20,0,0,18,13,10,15,5397,124,980,22,1,2023,Aljezur
168,2470,4070,2,0,1,28,29,14,16,5412,124,983,21,1,2023,Aljezur
169,2495,4051,0,0,4,16,13,6,10,5415,124,987,20,1,2023,Aljezur
170,2462,4096,4,0,0,13,15,8,10,5426,124,989,19,1,2023,Aljezur
171,2178,4391,2,0,0,26,20,17,8,5429,124,993,23,1,2023,Aljezur
172,2069,4501,1,0,1,31,28,22,7,5430,125,994,21,1,2023,Aljezur
173,1989,4593,4,0,0,13,11,17,6,5438,125,996,23,1,2023,Aljezur
174,1926,4660,1,0,0,33,21,12,5,5442,125,996,23,1,2024,Aljezur
175,1808,4778,2,0,0,11,10,11,3,5445,125,994,22,1,2024,Aljezur
176,1764,4826,3,0,0,21,15,18,6,5447,125,996,22,1,2024,Aljezur
177,2037,3974,1,0,0,17,13,7,6,4885,60,1036,30,1,2022,Aljustrel
178,1931,4078,4,0,0,36,36,13,15,4880,60,1038,31,1,2022,Aljustrel
179,1788,4212,2,0,0,45,38,10,9,4875,60,1036,29,1,2022,Aljustrel
180,1888,4116,2,0,0,50,44,11,11,4879,60,1037,28,1,2022,Aljustrel
181,1756,4259,1,0,0,27,27,7,6,4888,60,1037,30,1,2022,Aljustrel
182,1759,4268,1,0,0,46,38,12,7,4898,60,1038,31,1,2022,Aljustrel
183,1738,4296,2,0,0,31,27,12,6,4905,60,1040,29,1,2022,Aljustrel
184,1759,4273,7,0,0,29,24,16,2,4907,60,1037,28,1,2022,Aljustrel
185,2001,4034,26,0,0,33,26,14,10,4908,60,1038,29,1,2022,Aljustrel
186,1729,4307,51,0,1,35,29,10,7,4909,60,1038,29,1,2022,Aljustrel
187,1673,4372,31,0,0,41,33,24,8,4919,60,1038,28,1,2023,Aljustrel
188,1675,4370,23,0,0,45,47,11,12,4919,60,1038,28,1,2023,Aljustrel
189,1653,4392,34,0,0,66,43,15,11,4919,60,1038,28,1,2023,Aljustrel
190,1652,4406,4,0,0,42,39,19,14,4923,60,1043,32,1,2023,Aljustrel
191,1651,4413,4,0,0,45,38,7,15,4926,60,1047,31,1,2023,Aljustrel
192,1639,4429,2,0,8,43,34,11,6,4927,60,1050,31,1,2023,Aljustrel
193,1632,4442,5,0,0,26,26,15,9,4932,60,1052,30,1,2023,Aljustrel
194,1057,5011,3,0,0,44,36,18,11,4926,60,1052,30,1,2023,Aljustrel
195,858,5218,1,0,0,49,45,30,9,4933,60,1052,31,1,2023,Aljustrel
196,706,5373,0,0,0,32,24,28,3,4938,60,1050,31,1,2023,Aljustrel
197,684,5388,1,0,0,42,35,29,6,4933,60,1049,30,1,2024,Aljustrel
198,615,5458,1,0,0,17,17,10,1,4933,60,1049,31,1,2024,Aljustrel
199,603,5472,3,0,0,40,29,14,6,4934,60,1050,31,1,2024,Aljustrel
200,3646,3361,0,0,0,3,2,5,5,5735,124,1138,10,2,2022,Almeida
201,3671,3338,0,0,0,10,7,12,3,5732,125,1139,13,2,2022,Almeida
202,3481,3512,1,0,0,10,10,4,3,5717,125,1140,11,2,2022,Almeida
203,3473,3514,1,0,0,18,18,13,7,5715,125,1135,12,2,2022,Almeida
204,3291,3696,1,0,0,8,9,11,3,5714,125,1135,13,2,2022,Almeida
205,3198,3790,0,0,0,21,12,15,5,5714,125,1136,13,2,2022,Almeida
206,3210,3773,1,0,0,12,9,12,5,5711,125,1135,12,2,2022,Almeida
207,3067,3923,4,1,0,14,13,12,5,5714,125,1138,13,2,2022,Almeida
208,3027,3965,74,0,0,13,12,15,8,5711,125,1141,15,2,2022,Almeida
209,2603,4392,77,0,0,15,14,10,8,5713,125,1146,11,1,2023,Almeida
210,2286,4728,24,0,0,18,16,11,8,5724,127,1152,11,0,2023,Almeida
211,1915,5108,0,0,0,10,8,13,6,5730,127,1153,13,0,2023,Almeida
212,1725,5301,0,0,6,17,16,18,11,5737,127,1151,11,0,2023,Almeida
213,1508,5511,4,0,1,18,14,14,2,5731,127,1152,9,0,2023,Almeida
214,1436,5587,11,0,0,21,15,13,9,5735,127,1152,9,0,2023,Almeida
215,1167,5858,2,0,0,43,26,18,9,5738,127,1151,9,0,2023,Almeida
216,921,6107,1,0,0,14,10,12,7,5737,127,1151,13,0,2023,Almeida
217,866,6157,1,0,0,33,23,18,12,5738,127,1149,9,0,2024,Almeida
218,770,6249,2,0,0,20,10,8,1,5732,127,1151,9,0,2024,Almeida
219,691,6323,2,0,0,17,15,20,11,5729,127,1150,8,0,2024,Almeida
220,3320,2339,0,0,0,6,3,4,2,4288,175,1181,15,1,2022,Almodôvar
221,3273,2383,0,0,0,12,14,6,2,4286,175,1180,15,1,2022,Almodôvar
222,3253,2400,0,0,0,8,6,5,0,4284,175,1179,15,1,2022,Almodôvar
223,3268,2391,1,0,0,16,13,8,0,4288,175,1181,15,1,2022,Almodôvar
224,3208,2451,0,0,0,19,16,6,5,4290,175,1180,14,1,2022,Almodôvar
225,3169,2496,1,0,0,23,13,13,5,4292,175,1185,13,1,2022,Almodôvar
226,3303,2360,0,0,0,13,10,7,8,4290,176,1186,11,1,2022,Almodôvar
227,3262,2397,3,0,0,13,12,2,3,4287,176,1185,11,1,2022,Almodôvar
228,2647,3015,30,0,0,19,17,6,4,4290,177,1184,11,1,2022,Almodôvar
229,2229,3440,74,0,2,27,21,17,10,4293,177,1188,11,1,2023,Almodôvar
230,1974,3701,47,1,0,30,22,10,8,4296,177,1190,12,1,2023,Almodôvar
231,1900,3793,27,0,0,31,27,10,7,4312,177,1190,14,1,2023,Almodôvar
232,1761,3937,0,0,0,30,33,10,11,4310,177,1196,15,1,2023,Almodôvar
233,1645,4057,0,0,3,34,26,15,10,4312,177,1200,13,1,2023,Almodôvar
234,1225,4480,1,0,1,18,15,14,10,4313,177,1201,14,1,2023,Almodôvar
235,1204,4499,3,0,1,31,24,19,13,4312,177,1201,13,1,2023,Almodôvar
236,1095,4613,0,0,0,37,37,16,10,4316,177,1202,13,1,2023,Almodôvar
237,1061,4650,0,0,0,22,14,23,2,4317,177,1203,14,1,2023,Almodôvar
238,1067,4650,0,0,0,24,21,8,12,4326,177,1202,12,1,2024,Almodôvar
239,1001,4717,0,0,0,12,10,8,3,4328,177,1201,12,1,2024,Almodôvar
240,661,5062,2,0,0,24,15,11,4,4328,177,1204,14,1,2024,Almodôvar
241,488,3999,1,0,0,20,18,8,17,3257,59,1148,23,1,2022,Alpiarça
242,506,3991,2,0,0,48,49,24,22,3255,59,1160,23,1,2022,Alpiarça
243,440,4142,4,0,0,51,47,8,12,3259,59,1240,24,1,2022,Alpiarça
244,409,4130,3,0,0,44,40,28,15,3261,59,1195,24,1,2022,Alpiarça
245,425,4095,7,0,0,42,41,39,21,3268,59,1169,24,1,2022,Alpiarça
246,419,4091,23,0,0,48,35,23,13,3273,59,1156,22,1,2022,Alpiarça
247,400,4106,53,0,0,47,49,17,15,3277,59,1148,22,1,2022,Alpiarça
248,397,4112,52,0,1,51,48,30,17,3281,59,1147,22,1,2023,Alpiarça
249,421,4089,42,0,0,48,31,18,17,3279,59,1150,22,1,2023,Alpiarça
250,346,4175,25,0,0,54,44,14,14,3287,59,1153,22,1,2023,Alpiarça
251,412,4218,4,0,0,49,39,13,21,3309,59,1240,22,1,2023,Alpiarça
252,383,4255,1,0,0,43,40,9,26,3312,59,1244,23,1,2023,Alpiarça
253,369,4268,2,0,7,39,31,11,7,3314,59,1241,23,1,2023,Alpiarça
254,342,4270,7,1,0,26,25,35,18,3316,58,1215,23,1,2023,Alpiarça
255,348,4254,5,0,0,51,28,24,14,3324,58,1198,22,1,2023,Alpiarça
256,300,4283,1,0,0,48,37,27,4,3317,58,1187,21,1,2023,Alpiarça
257,316,4270,1,0,0,66,48,25,11,3319,58,1188,21,1,2024,Alpiarça
258,318,4270,3,0,0,31,26,8,4,3321,57,1189,21,1,2024,Alpiarça
259,271,4313,8,0,0,45,32,21,8,3319,57,1188,20,1,2024,Alpiarça
260,533,2349,0,0,0,11,9,4,3,2326,26,519,11,1,2022,Alter do Chão
261,510,2367,2,0,0,23,18,6,10,2322,26,518,11,1,2022,Alter do Chão
262,474,2400,0,0,0,28,21,8,7,2319,26,518,11,1,2022,Alter do Chão
263,463,2416,0,0,0,30,29,7,10,2321,26,520,12,1,2022,Alter do Chão
264,401,2475,3,0,0,31,20,8,2,2316,26,520,14,1,2022,Alter do Chão
265,389,2489,1,0,0,33,23,11,10,2320,26,519,13,1,2022,Alter do Chão
266,389,2490,0,1,0,24,21,14,10,2323,26,517,13,1,2022,Alter do Chão
267,382,2497,5,0,0,21,19,10,6,2325,26,515,13,1,2022,Alter do Chão
268,388,2497,27,0,0,25,21,12,6,2331,26,515,13,1,2022,Alter do Chão
269,338,2552,50,0,0,26,23,6,6,2334,26,517,13,1,2022,Alter do Chão
270,288,2600,27,0,3,26,23,9,16,2332,26,517,13,1,2023,Alter do Chão
271,293,2597,36,0,0,22,19,12,6,2334,26,518,12,1,2023,Alter do Chão
272,221,2674,42,0,0,29,24,9,3,2337,26,520,12,1,2023,Alter do Chão
273,216,2679,14,0,0,30,32,12,5,2337,26,520,12,1,2023,Alter do Chão
274,231,2664,11,0,0,33,21,8,11,2337,26,520,12,1,2023,Alter do Chão
275,219,2673,3,0,0,29,23,4,7,2335,26,521,10,1,2023,Alter do Chão
276,258,2637,0,0,0,32,27,7,7,2335,26,521,13,1,2023,Alter do Chão
277,213,2689,0,0,5,30,27,17,7,2341,26,524,11,1,2023,Alter do Chão
278,268,2635,1,0,0,24,20,12,4,2340,26,526,11,1,2023,Alter do Chão
279,253,2653,2,0,0,23,26,11,12,2344,26,525,11,1,2023,Alter do Chão
280,275,2634,1,0,0,31,26,6,3,2347,26,525,11,1,2023,Alter do Chão
281,195,2711,0,0,0,23,16,14,7,2344,26,525,11,1,2023,Alter do Chão
282,203,2702,0,0,0,32,25,13,5,2344,26,524,11,1,2024,Alter do Chão
283,193,2705,0,0,0,7,8,7,0,2338,26,523,11,1,2024,Alter do Chão
284,172,2727,2,0,0,20,10,7,1,2339,26,523,11,1,2024,Alter do Chão
285,1785,4140,1,0,0,6,3,12,10,4639,122,1146,18,1,2022,Alvaiázere
286,1623,4286,0,0,0,41,26,16,17,4629,122,1140,18,1,2022,Alvaiázere
287,1807,4103,0,0,0,28,32,8,21,4631,122,1140,17,1,2022,Alvaiázere
288,1520,4382,1,0,0,28,23,17,11,4625,122,1136,19,1,2022,Alvaiázere
289,1424,4490,0,0,0,22,19,20,14,4629,123,1139,23,1,2022,Alvaiázere
290,1261,4642,7,0,0,19,15,20,10,4628,123,1132,20,1,2022,Alvaiázere
291,758,5136,66,0,0,29,28,21,13,4618,122,1136,18,1,2023,Alvaiázere
292,460,5434,63,0,0,32,32,8,16,4617,122,1137,18,1,2023,Alvaiázere
293,430,5464,54,0,0,41,30,19,17,4617,122,1137,18,1,2023,Alvaiázere
294,414,5483,9,0,0,35,39,15,19,4627,122,1135,13,1,2023,Alvaiázere
295,396,5506,7,0,0,38,25,8,7,4627,122,1137,16,1,2023,Alvaiázere
296,387,5517,3,0,2,21,25,18,17,4630,122,1138,14,1,2023,Alvaiázere
297,408,5497,7,0,0,26,18,11,11,4630,122,1138,15,1,2023,Alvaiázere
298,358,5554,5,0,0,37,27,11,16,4637,122,1138,15,1,2023,Alvaiázere
299,640,5272,1,0,0,48,35,22,5,4638,122,1138,14,1,2023,Alvaiázere
300,376,5532,4,0,0,32,18,17,6,4637,122,1135,14,1,2023,Alvaiázere
301,393,5514,1,0,0,55,36,25,14,4638,124,1134,11,1,2024,Alvaiázere
302,304,5605,1,0,0,19,18,8,13,4642,124,1132,11,1,2024,Alvaiázere
303,284,5621,1,0,0,32,25,10,14,4640,124,1131,10,1,2024,Alvaiázere
304,270,1437,1,0,0,9,6,0,2,1298,24,381,4,1,2022,Alvito
305,305,1407,0,0,0,14,13,4,9,1298,24,385,5,1,2022,Alvito
306,237,1472,1,0,0,23,18,4,5,1293,24,388,4,1,2022,Alvito
307,298,1411,0,0,0,21,17,2,6,1292,24,389,4,1,2022,Alvito
308,230,1476,0,0,0,19,13,4,8,1290,24,388,4,1,2022,Alvito
309,230,1475,0,0,0,25,23,5,6,1289,24,388,4,1,2022,Alvito
310,216,1492,0,0,0,18,15,5,10,1291,24,389,4,1,2022,Alvito
311,209,1499,4,0,0,12,10,8,5,1290,24,389,5,1,2022,Alvito
312,201,1507,14,0,0,21,12,3,1,1292,24,389,3,1,2022,Alvito
313,192,1517,21,0,0,18,18,3,8,1291,24,391,3,1,2022,Alvito
314,197,1512,16,0,0,17,16,5,4,1293,24,390,2,1,2023,Alvito
