,concelho,ano,mes,distrito,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao
94,Albergaria-a-Velha,2023,7,Aveiro,4,0,72,66,36,25
95,Albergaria-a-Velha,2023,8,Aveiro,6,0,65,41,51,13
96,Albergaria-a-Velha,2023,9,Aveiro,14,0,85,56,46,20
97,Albergaria-a-Velha,2023,10,Aveiro,26,0,84,67,61,18
98,Albergaria-a-Velha,2023,11,Aveiro,5,0,116,89,45,18
99,Albergaria-a-Velha,2023,12,Aveiro,7,0,62,39,49,10
100,Albergaria-a-Velha,2024,1,Aveiro,3,0,91,70,66,26
101,Albergaria-a-Velha,2024,2,Aveiro,7,0,42,31,28,8
102,Albergaria-a-Velha,2024,3,Aveiro,7,0,59,50,63,15
103,Albergaria-a-Velha,2024,4,Aveiro,1,0,18,12,5,1
104,Albufeira,2022,3,Faro,5,0,84,57,202,37
105,Albufeira,2022,4,Faro,18,0,170,158,248,84
106,Albufeira,2022,5,Faro,8,0,211,145,154,79
107,Albufeira,2022,6,Faro,10,0,182,154,139,82
108,Albufeira,2022,7,Faro,8,1,217,162,130,35
109,Albufeira,2022,8,Faro,12,0,263,207,121,86
110,Albufeira,2022,9,Faro,6,0,169,141,152,66
111,Albufeira,2022,10,Faro,69,0,165,130,258,57
112,Albufeira,2022,11,Faro,768,0,222,162,433,84
113,Albufeira,2022,12,Faro,960,0,240,184,275,84
114,Albufeira,2023,1,Faro,572,0,289,247,188,114
115,Albufeira,2023,2,Faro,799,0,213,172,189,100
116,Albufeira,2023,3,Faro,614,2,290,243,481,89
117,Albufeira,2023,4,Faro,947,0,252,232,119,92
118,Albufeira,2023,5,Faro,705,1,309,234,132,90
119,Albufeira,2023,6,Faro,103,0,272,236,185,112
120,Albufeira,2023,7,Faro,13,1,271,228,162,75
121,Albufeira,2023,8,Faro,9,2,222,204,182,80
122,Albufeira,2023,9,Faro,17,0,186,146,130,76
123,Albufeira,2023,10,Faro,28,1,300,242,169,109
124,Albufeira,2023,11,Faro,9,0,378,286,441,81
125,Albufeira,2023,12,Faro,8,0,239,177,183,65
126,Albufeira,2024,1,Faro,12,0,386,269,319,80
127,Albufeira,2024,2,Faro,8,0,173,129,71,51
128,Albufeira,2024,3,Faro,10,0,233,203,264,71
129,Albufeira,2024,4,Faro,1,0,79,50,22,17
130,Alcanena,2022,3,Santarém,0,0,11,9,13,8
131,Alcanena,2022,4,Santarém,5,0,20,17,17,15
132,Alcanena,2022,5,Santarém,3,0,32,33,17,11
133,Alcanena,2022,6,Santarém,2,0,30,25,19,8
134,Alcanena,2022,7,Santarém,2,0,27,22,11,4
135,Alcanena,2022,8,Santarém,3,0,39,38,15,10
136,Alcanena,2022,9,Santarém,3,1,37,36,21,4
137,Alcanena,2022,10,Santarém,8,0,29,26,24,4
138,Alcanena,2022,11,Santarém,42,0,30,28,12,7
139,Alcanena,2022,12,Santarém,117,0,41,37,18,10
140,Alcanena,2023,1,Santarém,100,0,49,35,26,17
141,Alcanena,2023,2,Santarém,125,0,34,43,19,9
142,Alcanena,2023,3,Santarém,182,0,43,38,18,5
143,Alcanena,2023,4,Santarém,129,1,50,45,15,10
144,Alcanena,2023,5,Santarém,114,0,58,49,24,14
145,Alcanena,2023,6,Santarém,48,0,50,44,21,22
146,Alcanena,2023,7,Santarém,6,0,45,45,13,8
147,Alcanena,2023,8,Santarém,7,0,47,35,22,22
148,Alcanena,2023,9,Santarém,6,0,41,37,26,8
149,Alcanena,2023,10,Santarém,4,0,42,39,33,9
150,Alcanena,2023,11,Santarém,1,0,70,57,42,11
151,Alcanena,2023,12,Santarém,0,0,40,29,40,15
152,Alcanena,2024,1,Santarém,2,0,64,50,47,13
153,Alcanena,2024,2,Santarém,1,0,33,29,25,7
154,Alcanena,2024,3,Santarém,1,0,54,50,31,10
155,Alcanena,2024,4,Santarém,0,0,14,12,3,4
156,Alcobaça,2022,3,Leiria,10,1,104,83,36,33
157,Alcobaça,2022,4,Leiria,15,0,161,169,100,100
