,concelho,ano,mes,distrito,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao
1980,Coruche,2022,8,Santarém,1,0,27,27,11,21
1981,Coruche,2022,9,Santarém,3,2,23,22,15,4
1982,Coruche,2022,10,Santarém,14,1,22,19,23,5
1983,Coruche,2022,11,Santarém,224,0,30,22,18,10
1984,Coruche,2022,12,Santarém,205,0,31,26,18,15
1985,Coruche,2023,1,Santarém,184,0,48,38,35,15
1986,Coruche,2023,2,Santarém,141,0,29,27,35,12
1987,Coruche,2023,3,Santarém,118,1,44,34,24,11
1988,Coruche,2023,4,Santarém,106,1,38,35,14,17
1989,Coruche,2023,5,Santarém,237,0,65,55,23,7
1990,Coruche,2023,6,Santarém,68,0,53,41,18,22
1991,Coruche,2023,7,Santarém,4,0,55,55,21,14
1992,Coruche,2023,8,Santarém,5,0,64,50,18,25
1993,Coruche,2023,9,Santarém,3,0,61,55,27,20
1994,Coruche,2023,10,Santarém,13,0,101,77,33,32
1995,Coruche,2023,11,Santarém,5,0,114,108,44,18
1996,Coruche,2023,12,Santarém,6,0,62,44,37,11
1997,Coruche,2024,1,Santarém,5,0,101,83,57,19
1998,Coruche,2024,2,Santarém,4,0,44,28,22,12
1999,Coruche,2024,3,Santarém,6,0,72,51,39,17
2000,Coruche,2024,4,Santarém,0,0,19,16,1,3
2001,Covilhã,2022,3,Castelo Branco,6,1,98,75,65,39
2002,Covilhã,2022,4,Castelo Branco,12,0,201,195,219,62
2003,Covilhã,2022,5,Castelo Branco,12,1,236,177,171,71
2004,Covilhã,2022,6,Castelo Branco,6,0,248,207,195,76
2005,Covilhã,2022,7,Castelo Branco,7,0,201,158,200,46
2006,Covilhã,2022,8,Castelo Branco,6,0,281,235,235,83
2007,Covilhã,2022,9,Castelo Branco,6,1,206,191,264,65
2008,Covilhã,2022,10,Castelo Branco,83,1,191,174,229,54
2009,Covilhã,2022,11,Castelo Branco,346,1,204,169,187,51
2010,Covilhã,2022,12,Castelo Branco,291,1,221,175,219,47
2011,Covilhã,2023,1,Castelo Branco,401,0,290,203,260,65
2012,Covilhã,2023,2,Castelo Branco,494,0,244,212,205,70
2013,Covilhã,2023,3,Castelo Branco,265,2,238,211,222,77
2014,Covilhã,2023,4,Castelo Branco,267,0,255,224,144,76
2015,Covilhã,2023,5,Castelo Branco,349,0,295,240,153,75
2016,Covilhã,2023,6,Castelo Branco,98,0,240,221,217,89
2017,Covilhã,2023,7,Castelo Branco,14,0,259,210,203,75
2018,Covilhã,2023,8,Castelo Branco,12,0,231,196,226,78
2019,Covilhã,2023,9,Castelo Branco,21,0,209,171,212,63
2020,Covilhã,2023,10,Castelo Branco,34,0,243,195,189,76
2021,Covilhã,2023,11,Castelo Branco,11,0,316,249,235,69
2022,Covilhã,2023,12,Castelo Branco,6,0,180,152,234,42
2023,Covilhã,2024,1,Castelo Branco,1,0,251,182,279,48
2024,Covilhã,2024,2,Castelo Branco,7,0,139,109,110,16
2025,Covilhã,2024,3,Castelo Branco,16,0,178,151,165,44
2026,Covilhã,2024,4,Castelo Branco,1,0,50,31,26,10
2027,Crato,2022,3,Portalegre,1,0,4,4,3,3
2028,Crato,2022,4,Portalegre,1,0,18,18,10,8
2029,Crato,2022,5,Portalegre,4,0,15,19,8,7
2030,Crato,2022,6,Portalegre,1,0,26,17,10,5
2031,Crato,2022,7,Portalegre,0,0,24,22,3,6
2032,Crato,2022,8,Portalegre,1,0,22,23,8,5
2033,Crato,2022,9,Portalegre,4,0,19,15,9,3
2034,Crato,2022,10,Portalegre,2,0,20,13,11,2
2035,Crato,2022,11,Portalegre,24,0,12,12,8,9
2036,Crato,2022,12,Portalegre,78,0,20,14,13,2
2037,Crato,2023,1,Portalegre,15,0,29,23,15,10
2038,Crato,2023,2,Portalegre,33,0,22,13,8,8
2039,Crato,2023,3,Portalegre,55,0,25,19,17,8
2040,Crato,2023,4,Portalegre,27,0,30,29,7,6
2041,Crato,2023,5,Portalegre,14,0,25,24,6,6
2042,Crato,2023,6,Portalegre,9,0,36,32,10,12
2043,Crato,2023,7,Portalegre,3,0,27,17,12,6
2044,Crato,2023,8,Portalegre,2,0,20,16,15,7
2045,Crato,2023,9,Portalegre,2,0,20,18,7,5
2046,Crato,2023,10,Portalegre,4,0,26,16,11,5
2047,Crato,2023,11,Portalegre,1,0,21,21,7,7
2048,Crato,2023,12,Portalegre,0,0,14,10,12,6
2049,Crato,2024,1,Portalegre,0,0,32,24,13,7
2050,Crato,2024,2,Portalegre,1,0,11,10,4,2
2051,Crato,2024,3,Portalegre,0,0,14,14,8,4
2052,Crato,2024,4,Portalegre,1,0,2,2,3,0
2053,Cuba,2022,3,Beja,1,0,8,8,4,7
2054,Cuba,2022,4,Beja,0,0,31,30,9,11
2055,Cuba,2022,5,Beja,5,0,34,21,12,12
2056,Cuba,2022,6,Beja,3,0,36,30,10,18
2057,Cuba,2022,7,Beja,0,0,26,22,7,8
2058,Cuba,2022,8,Beja,2,0,34,27,12,11
2059,Cuba,2022,9,Beja,0,0,34,28,10,10
2060,Cuba,2022,10,Beja,2,0,21,22,8,12
2061,Cuba,2022,11,Beja,10,0,32,18,6,6
2062,Cuba,2022,12,Beja,35,0,25,24,8,18
2063,Cuba,2023,1,Beja,22,0,41,24,11,18
2064,Cuba,2023,2,Beja,54,0,30,18,11,10
2065,Cuba,2023,3,Beja,88,0,39,29,10,18
2066,Cuba,2023,4,Beja,174,0,36,33,10,16
2067,Cuba,2023,5,Beja,30,0,49,31,10,17
2068,Cuba,2023,6,Beja,11,0,39,26,9,11
2069,Cuba,2023,7,Beja,0,0,42,32,11,12
2070,Cuba,2023,8,Beja,1,0,40,25,9,12
2071,Cuba,2023,9,Beja,1,0,33,22,5,5
2072,Cuba,2023,10,Beja,6,0,44,33,9,18
2073,Cuba,2023,11,Beja,1,0,53,34,12,10
2074,Cuba,2023,12,Beja,0,0,28,17,11,11
2075,Cuba,2024,1,Beja,1,0,56,36,17,15
2076,Cuba,2024,2,Beja,1,0,23,17,9,9
2077,Cuba,2024,3,Beja,2,0,41,26,7,7
2078,Cuba,2024,4,Beja,0,0,6,1,3,1
2079,Elvas,2022,3,Portalegre,0,0,51,31,14,18
2080,Elvas,2022,4,Portalegre,5,1,100,92,49,47
2081,Elvas,2022,5,Portalegre,4,0,129,97,55,47
2082,Elvas,2022,6,Portalegre,2,0,129,114,35,39
2083,Elvas,2022,7,Portalegre,2,0,92,71,43,19
2084,Elvas,2022,8,Portalegre,0,0,126,99,55,37
2085,Elvas,2022,9,Portalegre,4,0,95,81,46,31
2086,Elvas,2022,10,Portalegre,12,0,85,73,59,38
2087,Elvas,2022,11,Portalegre,159,0,97,85,55,22
2088,Elvas,2022,12,Portalegre,153,0,95,77,78,25
2089,Elvas,2023,1,Portalegre,106,0,138,108,65,35
2090,Elvas,2023,2,Portalegre,89,0,102,82,67,27
2091,Elvas,2023,3,Portalegre,98,0,118,85,61,37
2092,Elvas,2023,4,Portalegre,97,0,121,108,38,27
2093,Elvas,2023,5,Portalegre,135,0,168,111,70,36
2094,Elvas,2023,6,Portalegre,33,0,121,92,53,48
2095,Elvas,2023,7,Portalegre,5,0,103,76,68,35
2096,Elvas,2023,8,Portalegre,3,0,109,70,78,39
2097,Elvas,2023,9,Portalegre,6,0,102,92,62,44
2098,Elvas,2023,10,Portalegre,12,0,136,97,66,34
2099,Elvas,2023,11,Portalegre,1,0,134,105,90,37
2100,Elvas,2023,12,Portalegre,2,0,88,61,72,17
2101,Elvas,2024,1,Portalegre,1,0,120,78,97,24
2102,Elvas,2024,2,Portalegre,0,0,63,55,29,15
2103,Elvas,2024,3,Portalegre,2,0,90,70,66,18
2104,Elvas,2024,4,Portalegre,0,0,29,12,7,2
2105,Entroncamento,2022,3,Santarém,4,0,34,23,24,14
2106,Entroncamento,2022,4,Santarém,9,0,90,78,61,36
2107,Entroncamento,2022,5,Santarém,4,0,99,76,66,35
2108,Entroncamento,2022,6,Santarém,2,0,98,88,55,31
2109,Entroncamento,2022,7,Santarém,4,0,83,72,42,25
2110,Entroncamento,2022,8,Santarém,3,0,112,89,51,37
2111,Entroncamento,2022,9,Santarém,3,0,78,64,72,26
2112,Entroncamento,2022,10,Santarém,17,0,85,71,62,28
2113,Entroncamento,2022,11,Santarém,128,0,100,67,73,28
2114,Entroncamento,2022,12,Santarém,169,1,94,93,63,28
2115,Entroncamento,2023,1,Santarém,168,0,125,85,80,43
2116,Entroncamento,2023,2,Santarém,222,0,109,88,73,27
2117,Entroncamento,2023,3,Santarém,136,1,108,99,73,27
2118,Entroncamento,2023,4,Santarém,135,0,125,109,49,27
2119,Entroncamento,2023,5,Santarém,143,0,162,124,66,34
2120,Entroncamento,2023,6,Santarém,19,0,140,115,61,45
2121,Entroncamento,2023,7,Santarém,3,0,142,95,58,38
2122,Entroncamento,2023,8,Santarém,4,0,107,93,84,35
2123,Entroncamento,2023,9,Santarém,14,0,94,75,85,28
2124,Entroncamento,2023,10,Santarém,17,0,130,96,89,33
2125,Entroncamento,2023,11,Santarém,3,0,159,128,101,36
2126,Entroncamento,2023,12,Santarém,3,0,128,89,94,24
2127,Entroncamento,2024,1,Santarém,3,0,148,110,114,40
2128,Entroncamento,2024,2,Santarém,3,0,91,65,52,9
2129,Entroncamento,2024,3,Santarém,2,0,107,93,83,30
2130,Entroncamento,2024,4,Santarém,0,0,30,15,13,1
2131,Espinho,2022,3,Aveiro,3,0,55,47,43,11
2132,Espinho,2022,4,Aveiro,8,0,142,128,81,68
2133,Espinho,2022,5,Aveiro,10,0,152,114,86,33
2134,Espinho,2022,6,Aveiro,11,0,178,154,67,79
2135,Espinho,2022,7,Aveiro,9,0,176,124,58,44
2136,Espinho,2022,8,Aveiro,7,0,195,155,87,62
2137,Espinho,2022,9,Aveiro,6,1,165,141,103,47
2138,Espinho,2022,10,Aveiro,36,0,144,114,106,42
2139,Espinho,2022,11,Aveiro,207,0,139,113,110,55
2140,Espinho,2022,12,Aveiro,235,2,149,142,107,50
2141,Espinho,2023,1,Aveiro,174,0,216,150,115,40
2142,Espinho,2023,2,Aveiro,173,0,187,153,99,45
2143,Espinho,2023,3,Aveiro,167,1,167,146,112,38
2144,Espinho,2023,4,Aveiro,120,0,163,143,72,40
2145,Espinho,2023,5,Aveiro,194,1,205,164,66,71
2146,Espinho,2023,6,Aveiro,18,0,186,139,82,46
2147,Espinho,2023,7,Aveiro,5,0,176,131,84,74
2148,Espinho,2023,8,Aveiro,9,0,165,128,86,42
2149,Espinho,2023,9,Aveiro,5,0,118,92,94,37
2150,Espinho,2023,10,Aveiro,14,0,171,129,108,48
2151,Espinho,2023,11,Aveiro,4,0,250,164,88,36
2152,Espinho,2023,12,Aveiro,5,0,139,117,75,31
2153,Espinho,2024,1,Aveiro,1,0,186,126,87,28
2154,Espinho,2024,2,Aveiro,1,0,82,70,68,12
2155,Espinho,2024,3,Aveiro,9,0,118,101,83,30
2156,Espinho,2024,4,Aveiro,0,0,39,21,14,9
2157,Esposende,2022,3,Braga,8,0,38,22,26,15
2158,Esposende,2022,4,Braga,25,0,87,82,64,47
2159,Esposende,2022,5,Braga,11,0,113,90,69,46
2160,Esposende,2022,6,Braga,12,0,124,104,59,40
2161,Esposende,2022,7,Braga,13,0,102,90,53,27
2162,Esposende,2022,8,Braga,9,1,130,122,71,45
2163,Esposende,2022,9,Braga,11,2,94,69,81,32
2164,Esposende,2022,10,Braga,19,0,89,88,90,47
2165,Esposende,2022,11,Braga,118,0,95,76,104,32
2166,Esposende,2022,12,Braga,199,0,106,104,83,33
2167,Esposende,2023,1,Braga,151,0,132,103,70,52
2168,Esposende,2023,2,Braga,110,1,111,96,67,33
2169,Esposende,2023,3,Braga,276,0,115,99,73,54
2170,Esposende,2023,4,Braga,493,1,107,104,52,53
2171,Esposende,2023,5,Braga,463,0,135,113,81,55
2172,Esposende,2023,6,Braga,87,0,130,104,95,56
2173,Esposende,2023,7,Braga,7,0,142,123,102,76
2174,Esposende,2023,8,Braga,15,0,123,110,77,78
2175,Esposende,2023,9,Braga,24,0,104,91,112,74
2176,Esposende,2023,10,Braga,31,0,156,130,109,41
2177,Esposende,2023,11,Braga,29,0,204,144,118,58
2178,Esposende,2023,12,Braga,10,0,114,88,124,36
2179,Esposende,2024,1,Braga,5,0,202,164,140,49
2180,Esposende,2024,2,Braga,6,0,108,67,78,22
2181,Esposende,2024,3,Braga,9,0,152,120,100,40
2182,Esposende,2024,4,Braga,2,0,32,18,11,8
2183,Estarreja,2022,3,Aveiro,3,0,13,14,7,3
2184,Estarreja,2022,4,Aveiro,4,0,35,30,23,16
2185,Estarreja,2022,5,Aveiro,3,0,34,34,29,15
2186,Estarreja,2022,6,Aveiro,1,0,44,31,25,13
2187,Estarreja,2022,7,Aveiro,2,0,41,36,25,15
2188,Estarreja,2022,8,Aveiro,3,0,60,54,25,11
2189,Estarreja,2022,9,Aveiro,2,0,49,46,33,19
2190,Estarreja,2022,10,Aveiro,8,0,41,48,31,16
2191,Estarreja,2022,11,Aveiro,290,0,72,56,34,7
2192,Estarreja,2022,12,Aveiro,537,0,47,48,41,14
2193,Estarreja,2023,1,Aveiro,327,0,68,48,51,21
2194,Estarreja,2023,2,Aveiro,333,0,69,60,46,14
2195,Estarreja,2023,3,Aveiro,469,0,77,68,67,19
2196,Estarreja,2023,4,Aveiro,290,1,67,74,29,23
2197,Estarreja,2023,5,Aveiro,484,0,89,71,41,23
2198,Estarreja,2023,6,Aveiro,87,0,87,74,34,25
2199,Estarreja,2023,7,Aveiro,8,0,76,83,45,34
2200,Estarreja,2023,8,Aveiro,20,0,74,69,56,17
2201,Estarreja,2023,9,Aveiro,12,0,67,52,58,26
2202,Estarreja,2023,10,Aveiro,16,0,87,70,61,20
2203,Estarreja,2023,11,Aveiro,8,0,122,107,51,19
2204,Estarreja,2023,12,Aveiro,9,0,68,51,77,14
2205,Estarreja,2024,1,Aveiro,8,0,98,79,69,21
2206,Estarreja,2024,2,Aveiro,8,0,61,44,37,13
2207,Estarreja,2024,3,Aveiro,9,0,83,66,57,21
2208,Estarreja,2024,4,Aveiro,1,0,25,19,8,5
2209,Estremoz,2022,3,Évora,1,0,41,28,17,19
2210,Estremoz,2022,4,Évora,4,0,81,74,60,31
2211,Estremoz,2022,5,Évora,1,1,107,88,43,28
2212,Estremoz,2022,6,Évora,1,0,94,98,33,38
2213,Estremoz,2022,7,Évora,1,0,82,71,29,23
2214,Estremoz,2022,8,Évora,5,0,106,91,45,32
2215,Estremoz,2022,9,Évora,2,0,88,78,66,28
2216,Estremoz,2022,10,Évora,7,0,82,76,38,21
2217,Estremoz,2022,11,Évora,131,1,84,71,54,24
2218,Estremoz,2022,12,Évora,176,0,72,57,46,27
2219,Estremoz,2023,1,Évora,112,0,79,60,55,29
2220,Estremoz,2023,2,Évora,73,0,59,51,36,20
2221,Estremoz,2023,3,Évora,74,0,81,60,46,19
2222,Estremoz,2023,4,Évora,54,0,72,68,32,28
2223,Estremoz,2023,5,Évora,53,0,104,80,31,26
2224,Estremoz,2023,6,Évora,15,0,82,78,39,31
2225,Estremoz,2023,7,Évora,5,0,93,88,52,33
2226,Estremoz,2023,8,Évora,5,0,73,54,48,28
2227,Estremoz,2023,9,Évora,5,0,67,53,33,30
2228,Estremoz,2023,10,Évora,6,0,82,63,39,30
2229,Estremoz,2023,11,Évora,4,0,105,76,65,22
2230,Estremoz,2023,12,Évora,2,0,59,45,51,16
2231,Estremoz,2024,1,Évora,4,0,71,44,51,17
2232,Estremoz,2024,2,Évora,3,0,39,29,27,4
2233,Estremoz,2024,3,Évora,2,0,68,53,41,17
2234,Estremoz,2024,4,Évora,0,0,12,7,5,3
2235,Fafe,2022,3,Braga,6,0,14,17,11,9
2236,Fafe,2022,4,Braga,10,0,43,31,30,8
2237,Fafe,2022,5,Braga,12,0,43,35,31,16
2238,Fafe,2022,6,Braga,17,0,63,50,18,22
2239,Fafe,2022,7,Braga,20,0,56,40,24,18
2240,Fafe,2022,8,Braga,4,0,76,75,35,14
2241,Fafe,2022,9,Braga,12,0,52,42,29,15
2242,Fafe,2022,10,Braga,32,0,29,30,42,13
2243,Fafe,2022,11,Braga,361,1,74,52,38,15
2244,Fafe,2022,12,Braga,475,0,49,38,45,13
2245,Fafe,2023,1,Braga,641,0,80,49,60,34
2246,Fafe,2023,2,Braga,303,0,68,53,49,30
2247,Fafe,2023,3,Braga,449,0,74,54,97,31
2248,Fafe,2023,4,Braga,580,0,67,46,40,34
2249,Fafe,2023,5,Braga,575,0,97,71,59,29
2250,Fafe,2023,6,Braga,93,0,95,76,39,39
2251,Fafe,2023,7,Braga,13,0,89,79,64,33
2252,Fafe,2023,8,Braga,13,1,94,62,80,27
2253,Fafe,2023,9,Braga,11,0,80,64,65,19
2254,Fafe,2023,10,Braga,26,0,111,84,89,22
2255,Fafe,2023,11,Braga,12,0,140,118,90,21
2256,Fafe,2023,12,Braga,8,0,89,63,91,10
2257,Fafe,2024,1,Braga,6,0,120,82,123,22
2258,Fafe,2024,2,Braga,4,0,65,45,42,8
2259,Fafe,2024,3,Braga,3,0,100,78,72,19
2260,Fafe,2024,4,Braga,0,0,33,19,14,4
2261,Faro,2022,3,Faro,1,0,133,89,64,52
2262,Faro,2022,4,Faro,15,1,262,268,146,146
2263,Faro,2022,5,Faro,5,0,302,216,144,103
2264,Faro,2022,6,Faro,6,0,365,271,117,117
2265,Faro,2022,7,Faro,15,0,315,238,111,65
2266,Faro,2022,8,Faro,10,0,402,299,130,134
2267,Faro,2022,9,Faro,9,0,287,223,160,83
2268,Faro,2022,10,Faro,50,0,281,242,184,100
2269,Faro,2022,11,Faro,378,0,316,232,163,74
2270,Faro,2022,12,Faro,657,1,282,259,162,91
2271,Faro,2023,1,Faro,540,0,430,294,187,89
2272,Faro,2023,2,Faro,587,0,330,270,162,73
2273,Faro,2023,3,Faro,406,0,390,293,205,103
2274,Faro,2023,4,Faro,410,0,396,296,128,115
2275,Faro,2023,5,Faro,348,0,462,320,143,124
2276,Faro,2023,6,Faro,62,0,384,288,149,101
2277,Faro,2023,7,Faro,11,0,375,285,148,121
2278,Faro,2023,8,Faro,15,0,396,255,152,93
2279,Faro,2023,9,Faro,9,0,335,249,147,110
2280,Faro,2023,10,Faro,42,0,429,332,180,114
2281,Faro,2023,11,Faro,3,0,492,352,207,69
2282,Faro,2023,12,Faro,10,0,284,226,169,57
2283,Faro,2024,1,Faro,5,0,456,300,167,76
2284,Faro,2024,2,Faro,7,0,236,175,92,33
2285,Faro,2024,3,Faro,13,0,356,278,136,66
2286,Faro,2024,4,Faro,3,0,100,59,19,17
2287,Felgueiras,2022,3,Porto,8,1,21,18,19,12
2288,Felgueiras,2022,4,Porto,20,0,72,70,31,19
2289,Felgueiras,2022,5,Porto,17,0,79,60,33,22
2290,Felgueiras,2022,6,Porto,8,0,80,69,39,22
2291,Felgueiras,2022,7,Porto,12,0,68,66,22,10
2292,Felgueiras,2022,8,Porto,9,0,108,84,37,10
2293,Felgueiras,2022,9,Porto,11,0,64,71,39,22
2294,Felgueiras,2022,10,Porto,26,0,71,61,56,17
2295,Felgueiras,2022,11,Porto,168,1,83,60,32,14
2296,Felgueiras,2022,12,Porto,273,0,86,70,51,15
2297,Felgueiras,2023,1,Porto,313,0,116,81,53,32
2298,Felgueiras,2023,2,Porto,222,0,93,77,54,29
2299,Felgueiras,2023,3,Porto,495,0,95,75,58,28
2300,Felgueiras,2023,4,Porto,381,0,102,85,34,25
2301,Felgueiras,2023,5,Porto,195,0,136,111,38,45
2302,Felgueiras,2023,6,Porto,79,0,95,85,42,39
2303,Felgueiras,2023,7,Porto,7,1,129,111,43,38
2304,Felgueiras,2023,8,Porto,8,0,103,73,27,30
2305,Felgueiras,2023,9,Porto,11,0,87,70,55,33
2306,Felgueiras,2023,10,Porto,14,0,159,114,68,33
2307,Felgueiras,2023,11,Porto,5,0,202,141,74,29
2308,Felgueiras,2023,12,Porto,8,0,117,93,74,21
2309,Felgueiras,2024,1,Porto,10,1,147,107,93,17
2310,Felgueiras,2024,2,Porto,3,0,83,61,51,10
2311,Felgueiras,2024,3,Porto,6,0,121,92,81,26
2312,Felgueiras,2024,4,Porto,0,0,39,21,8,5
2313,Ferreira do Alentejo,2022,3,Beja,3,0,26,20,8,5
2314,Ferreira do Alentejo,2022,4,Beja,2,2,48,51,21,17
2315,Ferreira do Alentejo,2022,5,Beja,5,0,49,33,22,13
2316,Ferreira do Alentejo,2022,6,Beja,1,0,72,72,13,18
2317,Ferreira do Alentejo,2022,7,Beja,4,0,56,44,15,13
2318,Ferreira do Alentejo,2022,8,Beja,6,0,83,69,18,16
2319,Ferreira do Alentejo,2022,9,Beja,0,0,63,60,12,18
2320,Ferreira do Alentejo,2022,10,Beja,8,0,53,54,8,20
2321,Ferreira do Alentejo,2022,11,Beja,55,0,68,47,17,10
2322,Ferreira do Alentejo,2022,12,Beja,65,0,50,59,16,14
2323,Ferreira do Alentejo,2023,1,Beja,54,0,86,60,27,12
2324,Ferreira do Alentejo,2023,2,Beja,51,0,62,59,27,29
2325,Ferreira do Alentejo,2023,3,Beja,43,0,70,59,28,22
2326,Ferreira do Alentejo,2023,4,Beja,34,0,71,59,7,17
2327,Ferreira do Alentejo,2023,5,Beja,23,0,85,69,8,29
2328,Ferreira do Alentejo,2023,6,Beja,8,0,64,59,12,33
2329,Ferreira do Alentejo,2023,7,Beja,4,0,58,47,13,21
2330,Ferreira do Alentejo,2023,8,Beja,3,0,67,54,23,18
2331,Ferreira do Alentejo,2023,9,Beja,6,0,43,42,13,22
2332,Ferreira do Alentejo,2023,10,Beja,5,0,58,40,15,16
2333,Ferreira do Alentejo,2023,11,Beja,2,0,75,61,20,15
2334,Ferreira do Alentejo,2023,12,Beja,0,0,41,35,17,9
2335,Ferreira do Alentejo,2024,1,Beja,1,0,60,46,11,13
2336,Ferreira do Alentejo,2024,2,Beja,2,0,33,23,6,2
2337,Ferreira do Alentejo,2024,3,Beja,4,0,54,38,22,7
2338,Ferreira do Alentejo,2024,4,Beja,0,0,19,9,2,0
2339,Ferreira do Zêzere,2022,3,Santarém,1,1,9,9,5,7
2340,Ferreira do Zêzere,2022,4,Santarém,5,0,18,15,7,10
2341,Ferreira do Zêzere,2022,5,Santarém,2,0,27,19,10,16
2342,Ferreira do Zêzere,2022,6,Santarém,1,0,23,24,9,14
2343,Ferreira do Zêzere,2022,7,Santarém,2,0,22,24,8,8
2344,Ferreira do Zêzere,2022,8,Santarém,1,0,24,22,13,10
2345,Ferreira do Zêzere,2022,9,Santarém,2,1,21,17,13,8
2346,Ferreira do Zêzere,2022,10,Santarém,6,0,16,13,15,9
2347,Ferreira do Zêzere,2022,11,Santarém,65,0,23,16,13,10
2348,Ferreira do Zêzere,2022,12,Santarém,73,1,17,16,16,7
2349,Ferreira do Zêzere,2023,1,Santarém,98,1,26,19,17,9
2350,Ferreira do Zêzere,2023,2,Santarém,69,0,22,20,10,7
2351,Ferreira do Zêzere,2023,3,Santarém,119,0,23,24,11,4
2352,Ferreira do Zêzere,2023,4,Santarém,106,0,22,20,10,7
2353,Ferreira do Zêzere,2023,5,Santarém,107,0,30,25,8,19
2354,Ferreira do Zêzere,2023,6,Santarém,19,0,24,22,9,8
2355,Ferreira do Zêzere,2023,7,Santarém,6,0,39,30,15,11
2356,Ferreira do Zêzere,2023,8,Santarém,5,0,31,28,12,18
2357,Ferreira do Zêzere,2023,9,Santarém,4,0,23,22,27,10
2358,Ferreira do Zêzere,2023,10,Santarém,8,0,29,24,26,13
2359,Ferreira do Zêzere,2023,11,Santarém,3,0,54,39,33,9
2360,Ferreira do Zêzere,2023,12,Santarém,2,0,34,26,26,6
2361,Ferreira do Zêzere,2024,1,Santarém,4,0,48,38,28,8
2362,Ferreira do Zêzere,2024,2,Santarém,1,0,31,23,11,2
2363,Ferreira do Zêzere,2024,3,Santarém,3,0,33,36,23,12
2364,Ferreira do Zêzere,2024,4,Santarém,0,0,12,6,4,1
2365,Figueira da Foz,2022,3,Coimbra,7,0,77,51,53,31
2366,Figueira da Foz,2022,4,Coimbra,8,0,148,129,96,53
2367,Figueira da Foz,2022,5,Coimbra,13,0,182,124,134,49
2368,Figueira da Foz,2022,6,Coimbra,10,0,175,130,97,45
2369,Figueira da Foz,2022,7,Coimbra,3,0,153,109,72,27
2370,Figueira da Foz,2022,8,Coimbra,5,0,203,172,109,47
2371,Figueira da Foz,2022,9,Coimbra,3,0,170,118,115,39
2372,Figueira da Foz,2022,10,Coimbra,58,0,138,116,130,41
2373,Figueira da Foz,2022,11,Coimbra,288,1,172,111,128,39
2374,Figueira da Foz,2022,12,Coimbra,592,0,172,144,141,59
2375,Figueira da Foz,2023,1,Coimbra,640,0,236,157,160,47
2376,Figueira da Foz,2023,2,Coimbra,496,1,175,135,126,58
2377,Figueira da Foz,2023,3,Coimbra,610,0,227,168,136,72
2378,Figueira da Foz,2023,4,Coimbra,522,0,234,186,76,64
2379,Figueira da Foz,2023,5,Coimbra,434,0,266,199,85,84
2380,Figueira da Foz,2023,6,Coimbra,157,0,217,155,122,68
2381,Figueira da Foz,2023,7,Coimbra,7,0,207,164,112,62
2382,Figueira da Foz,2023,8,Coimbra,5,0,200,151,101,58
2383,Figueira da Foz,2023,9,Coimbra,14,0,144,113,121,52
2384,Figueira da Foz,2023,10,Coimbra,21,0,243,157,150,61
2385,Figueira da Foz,2023,11,Coimbra,2,0,310,225,138,56
2386,Figueira da Foz,2023,12,Coimbra,8,0,202,135,141,43
2387,Figueira da Foz,2024,1,Coimbra,7,0,276,169,166,59
2388,Figueira da Foz,2024,2,Coimbra,6,0,138,93,68,23
2389,Figueira da Foz,2024,3,Coimbra,8,1,215,136,153,42
2390,Figueira da Foz,2024,4,Coimbra,0,0,67,28,16,4
2391,Figueira de Castelo Rodrigo,2022,3,Guarda,1,0,6,6,5,6
2392,Figueira de Castelo Rodrigo,2022,4,Guarda,2,0,21,18,8,11
2393,Figueira de Castelo Rodrigo,2022,5,Guarda,0,0,18,14,7,11
2394,Figueira de Castelo Rodrigo,2022,6,Guarda,1,0,26,26,6,9
2395,Figueira de Castelo Rodrigo,2022,7,Guarda,0,0,19,18,6,9
2396,Figueira de Castelo Rodrigo,2022,8,Guarda,0,0,35,26,7,5
2397,Figueira de Castelo Rodrigo,2022,9,Guarda,0,1,27,19,8,12
2398,Figueira de Castelo Rodrigo,2022,10,Guarda,4,0,22,20,19,8
2399,Figueira de Castelo Rodrigo,2022,11,Guarda,68,0,31,23,7,11
2400,Figueira de Castelo Rodrigo,2022,12,Guarda,92,0,28,29,10,8
2401,Figueira de Castelo Rodrigo,2023,1,Guarda,102,0,32,24,12,5
2402,Figueira de Castelo Rodrigo,2023,2,Guarda,59,0,30,26,10,5
2403,Figueira de Castelo Rodrigo,2023,3,Guarda,113,0,32,26,12,9
2404,Figueira de Castelo Rodrigo,2023,4,Guarda,85,0,28,27,10,9
2405,Figueira de Castelo Rodrigo,2023,5,Guarda,111,0,33,25,7,12
2406,Figueira de Castelo Rodrigo,2023,6,Guarda,27,0,29,25,15,11
2407,Figueira de Castelo Rodrigo,2023,7,Guarda,2,0,46,41,11,5
2408,Figueira de Castelo Rodrigo,2023,8,Guarda,3,0,25,22,14,10
2409,Figueira de Castelo Rodrigo,2023,9,Guarda,2,0,26,26,14,6
2410,Figueira de Castelo Rodrigo,2023,10,Guarda,6,0,38,25,20,15
2411,Figueira de Castelo Rodrigo,2023,11,Guarda,2,0,54,47,15,11
