,Ano,Mês,Concelho,Energia Ativa (kWh)
79003,2022,7,Vila Nova de Poiares,171336.566
79005,2022,7,Mora,145653.851
79007,2022,7,Almeida,376858.444
79009,2022,7,Avis,180554.744
79011,2022,7,Arcos de Valdevez,36408.311
79013,2022,7,Ponte de Lima,67531.747
79015,2022,7,Vila Nova de Cerveira,634296.586
79017,2022,7,Mortágua,306669.257
79019,2022,7,São João da Pesqueira,486507.553
79021,2022,8,Odemira,161221.477
79023,2022,8,Vila Verde,466332.599
79025,2022,8,Leiria,164377.484
79027,2022,8,Gondomar,161668.024
79029,2022,8,Boticas,35235.997
79031,2022,9,Braga,38761.332
79033,2022,9,Fafe,325814.5
79035,2022,9,Guimarães,724521.995
79037,2022,9,Vinhais,116180.35
79039,2022,9,Loulé,459259.256
79041,2022,9,Vila Real de Santo António,544632.447
79043,2022,9,Santo Tirso,419253.002
79045,2022,9,Caminha,164887.9
79047,2022,10,Bragança,143840.234
79049,2022,10,Oleiros,83480.098
79051,2022,10,Proença-a-Nova,897656.201
79053,2022,10,Tábua,738530.434
79055,2022,10,Peniche,83868.153
79057,2022,10,Lisboa,7093190.454
79059,2022,10,Lousada,24733.655
79061,2022,10,Penafiel,178244.429
79063,2022,10,Penafiel,9905.812
79065,2022,10,Alcácer do Sal,565232.328
79067,2022,10,Murça,89771.308
79069,2022,11,Aveiro,651422.693
79071,2022,11,Miranda do douro,33626.825
79073,2022,11,Vila Flor,16455.412
79075,2022,11,Almeida,27644.876
79077,2022,11,Fornos de Algodres,34203.96
79079,2022,11,Vila Nova de Foz Côa,54775.955
79081,2022,11,Ponte de Lima,220601.85
79083,2022,11,Valpaços,13182.265
79085,2022,12,Barcelos,35655.433
79087,2022,12,Vila Verde,142205.331
79089,2022,12,Pombal,396109.611
79090,2022,1,Ovar,133010.711
79091,2022,12,Alcácer do Sal,582250.355
79092,2022,1,Barcelos,262986.259
79093,2022,12,Sesimbra,648689.898
