,Ano,Semestre,CodConcelho,Concelho,Pedidos de Ligação à Rede Executados (#)
246,2023,2,610,Montemor-o-Velho,1.0
247,2023,2,1507,Montijo,2.0
248,2023,2,1110,Oeiras,2.0
249,2023,2,115,Ovar,1.0
250,2023,2,1311,Penafiel,2.0
251,2023,2,1312,Porto,1.0
252,2023,2,1814,Santa Comba Dão,1.0
253,2023,2,1416,Santarém,2.0
254,2023,2,1111,Sintra,1.0
255,2023,2,101,Águeda,2.0
256,2024,1,1601,Arcos de Valdevez,1.0
257,2024,1,1504,Barreiro,2.0
258,2024,1,1005,Bombarral,1.0
259,2024,1,303,Braga,1.0
260,2024,1,804,Castro Marim,1.0
261,2024,1,704,Estremoz,1.0
262,2024,1,1303,Felgueiras,1.0
263,2024,1,607,Lousã,1.0
264,2024,1,1306,Maia,2.0
265,2024,1,115,Ovar,1.0
266,2024,1,1310,Paredes,1.0
267,2024,1,1312,Porto,1.0
268,2024,1,109,Santa Maria da Feira,1.0
269,2024,1,1512,Setúbal,1.0
270,2024,1,1111,Sintra,3.0
271,2024,1,616,Tábua,1.0
272,2024,1,312,Vila Nova de Famalicão,1.0
273,2024,1,1316,Vila do Conde,9.0
312,2022,1,1501,Alcácer do Sal,2.0
313,2022,1,105,Aveiro,2.0
314,2022,1,1105,Cascais,2.0
315,2022,1,603,Coimbra,2.0
316,2022,1,1410,Entroncamento,1.0
317,2022,1,107,Espinho,1.0
318,2022,1,1303,Felgueiras,2.0
319,2022,1,308,Guimarães,2.0
320,2022,1,1106,Lisboa,3.0
321,2022,1,1305,Lousada,1.0
322,2022,1,1109,Mafra,1.0
323,2022,1,1010,Marinha Grande,1.0
324,2022,1,407,Mirandela,1.0
325,2022,1,1506,Moita,1.0
326,2022,1,1213,Ponte de Sôr,2.0
327,2022,1,1414,Rio Maior,1.0
328,2022,1,109,Santa Maria da Feira,1.0
329,2022,1,1510,Seixal,3.0
330,2022,1,1608,Valença,2.0
331,2022,1,1609,Viana do Castelo,2.0
332,2022,1,1114,Vila Franca de Xira,2.0
333,2022,1,816,Vila Real de Santo António,1.0
334,2022,1,1316,Vila do Conde,2.0
335,2022,1,101,Águeda,1.0
336,2022,2,1301,Amarante,1.0
337,2022,2,303,Braga,2.0
338,2022,2,1602,Caminha,2.0
339,2022,2,1105,Cascais,2.0
340,2022,2,1007,Castanheira de Pêra,1.0
341,2022,2,1703,Chaves,1.0
342,2022,2,603,Coimbra,1.0
343,2022,2,503,Covilhã,1.0
344,2022,2,1805,Lamego,1.0
345,2022,2,1108,Lourinhã,2.0
346,2022,2,405,Macedo de Cavaleiros,1.0
347,2022,2,1308,Matosinhos,2.0
348,2022,2,1011,Nazaré,12.0
349,2022,2,1110,Oeiras,4.0
350,2022,2,1015,Pombal,2.0
351,2022,2,1016,Porto de Mós,1.0
352,2022,2,912,Seia,2.0
353,2022,2,1512,Setúbal,2.0
354,2022,2,1111,Sintra,1.0
355,2022,2,1418,Tomar,5.0
356,2022,2,1419,Torres Novas,1.0
357,2022,2,1318,Trofa,1.0
358,2022,2,1315,Valongo,1.0
359,2022,2,411,Vimioso,1.0
360,2022,2,1823,Viseu,2.0
361,2023,1,1301,Amarante,1.0
362,2023,1,105,Aveiro,1.0
363,2023,1,205,Beja,1.0
364,2023,1,501,Belmonte,1.0
365,2023,1,503,Covilhã,2.0
366,2023,1,704,Estremoz,2.0
367,2023,1,1304,Gondomar,1.0
368,2023,1,907,Guarda,1.0
369,2023,1,1009,Leiria,2.0
370,2023,1,1010,Marinha Grande,2.0
371,2023,1,1308,Matosinhos,4.0
372,2023,1,408,Mogadouro,1.0
373,2023,1,610,Montemor-o-Velho,1.0
374,2023,1,1011,Nazaré,3.0
375,2023,1,810,Olhão,2.0
376,2023,1,613,Penacova,1.0
377,2023,1,1015,Pombal,1.0
378,2023,1,116,São João da Madeira,1.0
379,2023,1,1418,Tomar,4.0
380,2023,1,1113,Torres Vedras,5.0
381,2023,1,1318,Trofa,1.0
382,2023,1,1714,Vila Real,5.0
383,2023,1,705,Évora,1.0
384,2023,2,1502,Alcochete,1.0
385,2023,2,1101,Alenquer,1.0
386,2023,2,302,Barcelos,1.0
387,2023,2,502,Castelo Branco,1.0
388,2023,2,1703,Chaves,1.0
389,2023,2,108,Estarreja,2.0
390,2023,2,704,Estremoz,2.0
391,2023,2,308,Guimarães,1.0
392,2023,2,1305,Lousada,1.0
393,2023,2,810,Olhão,1.0
394,2023,2,912,Seia,1.0
395,2023,2,1821,Tondela,1.0
396,2023,2,705,Évora,1.0
397,2024,1,1001,Alcobaça,1.0
398,2024,1,1501,Alcácer do Sal,1.0
399,2024,1,1101,Alenquer,1.0
400,2024,1,601,Arganil,1.0
401,2024,1,1006,Caldas da Rainha,1.0
